circo;Inscrits;Exprimés;%_Exp/Ins;LFI;voix;%_Voix/Ins;%_Voix/Exp;PCF;voix;%_Voix/Ins;%_Voix/Exp;EELV;voix;%_Voix/Ins;%_Voix/Exp;PS;voix;%_Voix/Ins;%_Voix/Exp;EM;voix;%_Voix/Ins;%_Voix/Exp;UDI;voix;%_Voix/Ins;%_Voix/Exp;LR;voix;%_Voix/Ins;%_Voix/Exp;DLF;voix;%_Voix/Ins;%_Voix/Exp;FN;voix;%_Voix/Ins;%_Voix/Exp
89_2;75754;26179;34.56;Philippe COLLIN;4169;5.5;15.92;François MEYROUNE;1652;2.18;6.31;Guillaume DURAND;952;1.26;3.64;;0;0.0;0.0;Jean-Yves CAULLET;11275;14.88;43.07;;0;0.0;0.0;Mehdi BARBOT;831;1.1;3.17;;0;0.0;0.0;Edwige JACQUET;7300;9.64;27.88
89_3;89189;31584;35.41;Isabelle MICHAUD;4307;4.83;13.64;Patrick BLIN;688;0.77;2.18;Bernard BEHEREC;844;0.95;2.67;Dominique BOURREAU;2206;2.47;6.98;Michèle CROUZET;12028;13.49;38.08;;0;0.0;0.0;Sylvain SIFFLET-LAFAVERGE;762;0.85;2.41;;0;0.0;0.0;Julien ODOUL;10749;12.05;34.03
90_1;47813;22194;46.42;Anais BELTRAN;2821;5.9;12.71;Sabine VERDANT;334;0.7;1.5;;0;0.0;0.0;Bastien FAUDOT;2110;4.41;9.51;Christophe GRUDLER;7379;15.43;33.25;;0;0.0;0.0;Ian BOUCARD;5493;11.49;24.75;;0;0.0;0.0;Jean-Raphaël SANDRI;4057;8.49;18.28
90_2;47477;21553;45.4;Laurent SOLER;2644;5.57;12.27;Jean PARENTY;333;0.7;1.55;Vincent JEUDY;1486;3.13;6.89;Maude CLAVEQUIN;1357;2.86;6.3;Bruno KERN;6836;14.4;31.72;;0;0.0;0.0;Michel ZUMKELLER;5386;11.34;24.99;;0;0.0;0.0;Laila LEROY;3511;7.4;16.29
91_1;71168;10446;14.68;Farida AMRANI;4868;6.84;46.6;Michel NOUAILLE;2095;2.94;20.06;Fadhel MAHBOULI;1;0.0;0.01;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;David SOULLARD;663;0.93;6.35;;0;0.0;0.0;Danielle OGER;2819;3.96;26.99
91_2;90695;42086;46.4;Michaël GOASDOUÉ;5475;6.04;13.01;Michèle KAUFFER;994;1.1;2.36;Patrick POLVERELLI;1810;2.0;4.3;;0;0.0;0.0;Daphné RACT-MADOUX;13371;14.74;31.77;;0;0.0;0.0;Franck MARLIN;13793;15.21;32.77;;0;0.0;0.0;Valérie GIRARD;6643;7.32;15.78
91_3;95774;41783;43.63;Virginie ARAUJO;6635;6.93;15.88;;0;0.0;0.0;Paul-Henri BAURE;873;0.91;2.09;Michel POUZOL;5665;5.91;13.56;Laëtitia ROMEIRO DIAS;16908;17.65;40.47;;0;0.0;0.0;Nicolas MÉARY;5617;5.86;13.44;;0;0.0;0.0;François HELIE;6085;6.35;14.56
91_4;96472;41084;42.59;Bernard TERRIS;5534;5.74;13.47;;0;0.0;0.0;Claire PINTO;1586;1.64;3.86;Ophélie GUIN;3825;3.96;9.31;Marie-Pierre RIXAIN;17742;18.39;43.18;;0;0.0;0.0;Agnès EVREN;7941;8.23;19.33;;0;0.0;0.0;Franck BEELDENS - DA SILVA;4456;4.62;10.85
91_5;68257;37651;55.16;Sylvère CALA;3786;5.55;10.06;Annick LE POUL;753;1.1;2.0;Didier MISSENARD;1515;2.22;4.02;Maud OLIVIER;4162;6.1;11.05;Cédric VILLANI;18883;27.66;50.15;;0;0.0;0.0;Laure DARCOS;6691;9.8;17.77;;0;0.0;0.0;Milvia MANGANO;1861;2.73;4.94
91_6;81929;31007;37.85;Philippe JURAVER;4792;5.85;15.45;Joelle PINNA;786;0.96;2.53;;0;0.0;0.0;Jérôme GUEDJ;5385;6.57;17.37;Amélie DE MONTCHALIN;15993;19.52;51.58;;0;0.0;0.0;Françoise FERNANDES;870;1.06;2.81;;0;0.0;0.0;Nathalie PAULIN;3181;3.88;10.26
91_7;74142;24444;32.97;Mounia BENAILI;4588;6.19;18.77;;0;0.0;0.0;Eva SAS;4645;6.27;19.0;;0;0.0;0.0;Muriel KERNREUTER;10476;14.13;42.86;;0;0.0;0.0;Nadine MARCELIN;675;0.91;2.76;;0;0.0;0.0;Audrey GUIBERT;4060;5.48;16.61
91_8;76390;24724;32.37;Jérôme FLAMENT;4511;5.91;18.25;Geneviève MORIN;720;0.94;2.91;Farid GHEHIOUECHE;159;0.21;0.64;Faten BEN AHMED;1876;2.46;7.59;Antoine PAVAMANI;13558;17.75;54.84;;0;0.0;0.0;Irvin BIDA;2275;2.98;9.2;;0;0.0;0.0;Benjamin BOUCHER;1625;2.13;6.57
91_9;79226;34919;44.08;Anne JOURNEL;5016;6.33;14.36;Laïd AMRANI;899;1.13;2.57;Brigitte BAGUET;960;1.21;2.75;Romain COLAS;4808;6.07;13.77;Marie GUÉVENOUX;13029;16.45;37.31;;0;0.0;0.0;Véronique CARANTOIS;6326;7.98;18.12;;0;0.0;0.0;Thiebauld VEGA;3881;4.9;11.11
91_10;61174;22330;36.5;Charlotte GIRARD;4134;6.76;18.51;Philippe RIO;2849;4.66;12.76;Isabelle CATRAIN;1307;2.14;5.85;Malek BOUTIH;3294;5.38;14.75;Pierre-Alain RAPHAN;7093;11.59;31.76;;0;0.0;0.0;Valérie FLEURY;803;1.31;3.6;;0;0.0;0.0;Lucie DEDI;2850;4.66;12.76
92_1;62383;20750;33.26;Nasser LAJILI;3195;5.12;15.4;Elsa FAUCILLON;3942;6.32;19.0;Délia TOUMI;502;0.8;2.42;Alexis BACHELAY;2203;3.53;10.62;Isia KHALFI;6986;11.2;33.67;;0;0.0;0.0;Nadia FRONTIGNY;2103;3.37;10.13;;0;0.0;0.0;Tommy ANOU;1819;2.92;8.77
