circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
50_1;UMP;PHILIPPE GOSSELIN;2nd tour;29.45;23.71
50_2;UMP;GUÉNHAËL HUET;2nd tour;31.71;25.37
50_3;UMP;ALAIN COUSIN;2nd tour;30.2;23.36
50_4;PS;BERNARD CAZENEUVE;2nd tour;29.16;22.65
51_1;UMP;ARNAUD ROBINET;2nd tour;27.43;21.51
51_2;UMP;CATHERINE VAUTRIN-PENNAFORTE;2nd tour;28.78;23.04
51_3;UMP;PHILIPPE MARTIN;2nd tour;29.76;22.78
51_4;UMP;BENOIST APPARU;2nd tour;29.16;22.23
51_5;UMP;CHARLES DE COURSON;2nd tour;24.56;25.0
52_1;UMP;LUC CHATEL;2nd tour;31.61;22.16
52_2;UMP;FRANÇOIS CORNUT-GENTILLE;2nd tour;21.32;21.68
53_1;UMP;SAMIA SOULTANI-VIGNERON;2nd tour;28.63;22.68
53_2;UMP;GUILLAUME CHEVROLLIER;2nd tour;31.74;25.72
53_3;UMP;YANNICK FAVENNEC;2nd tour;34.26;25.07
54_1;PS;CHAYNESSE KHIROUNI;2nd tour;26.41;20.34
54_2;PS;HERVÉ FERON;2nd tour;26.69;20.99
54_3;PS;CHRISTIAN ECKERT;2nd tour;28.65;20.94
54_4;FG;CLAUDE BLAQUE;2nd tour;32.39;34.86
54_5;PS;DOMINIQUE POTIER;2nd tour;23.72;18.27
54_6;PS;JEAN-YVES LE DEAUT;2nd tour;27.12;20.81
55_1;PS;DIANA ANDRE;2nd tour;23.04;18.3
55_2;PS;JEAN-LOUIS DUMONT;2nd tour;22.28;17.51
56_1;UMP;FRANÇOIS GOULARD;2nd tour;30.46;25.07
56_2;UMP;PHILIPPE LE RAY;2nd tour;29.5;23.91
56_3;UMP;YVES BLEUNVEN;2nd tour;29.47;23.27
56_4;UMP;FRANÇOIS GUEANT;2nd tour;30.48;23.77
56_5;PS;GWENDAL ROUILLARD;2nd tour;28.08;21.8
56_6;PS;PHILIPPE NOGUES;2nd tour;29.13;22.97
57_1;UMP;JULIEN FREYBURGER;2nd tour;26.51;19.14
57_2;UMP;DENIS JACQUAT;2nd tour;29.21;22.2
57_3;UMP;MARIE-JO ZIMMERMANN;2nd tour;28.03;21.2
57_4;UMP;ALAIN MARTY;2nd tour;24.34;24.78
57_5;UMP;CÉLESTE LETT;2nd tour;22.33;22.72
57_6;PS;LAURENT KALINOWSKI;2nd tour;21.2;19.2
57_7;PS;PAOLA ZANETTI;2nd tour;21.81;20.46
57_8;PS;MICHEL LIEBGOTT;2nd tour;26.7;19.81
57_9;UMP;ANNE GROMMERCH-BRANDENBURGER;2nd tour;28.25;21.99
58_1;PS;MARTINE CARRILLON-COUVREUR;2nd tour;28.19;21.72
58_2;PS;CHRISTIAN PAUL;2nd tour;28.87;22.69
59_1;PS;BERNARD ROMAN;2nd tour;28.28;21.71
59_2;PS;AUDREY LINKENHELD;2nd tour;29.6;22.98
59_3;PS;RÉMI PAUVROS;2nd tour;23.99;18.15
59_4;UMP;MARC-PHILIPPE DAUBRESSE;2nd tour;28.57;23.53
59_5;UMP;SÉBASTIEN HUYGHE;2nd tour;27.6;20.69
59_6;UMP;THIERRY LAZARO;2nd tour;31.47;25.22
59_7;UMP;FRANCIS VERCAMER;2nd tour;27.83;21.66
59_8;PS;DOMINIQUE BAERT;2nd tour;27.29;21.53
59_9;UMP;BERNARD GERARD;2nd tour;30.3;25.31
59_10;UMP;GÉRALD DARMANIN;2nd tour;26.64;19.71
59_11;PS;YVES DURAND;2nd tour;25.9;19.69
59_12;PS;CHRISTIAN BATAILLE;2nd tour;26.07;19.63
59_13;PS;CHRISTIAN HUTIN;2nd tour;27.29;20.57
59_14;PS;JEAN SCHEPMAN;2nd tour;24.12;18.82
59_15;UMP;JEAN-PIERRE BATAILLE;2nd tour;29.04;21.85
59_16;PS;CHRISTIAN ENTEM;2nd tour;29.5;20.69
59_17;PS;MONIQUE AMGHAR;2nd tour;27.12;19.81
59_18;PS;MARTINE FILLEUL;2nd tour;24.13;18.92
59_19;PS;ANNE-LISE DUFOUR-TONINI;2nd tour;27.93;20.26
59_20;PS;SÉBASTIEN URGU;2nd tour;24.63;18.18
59_21;FG;FABIEN THIEME;2nd tour;34.94;35.59
60_1;PS;BÉATRICE LEJEUNE;2nd tour;23.43;18.5
60_2;UMP;JEAN-FRANÇOIS MANCEL;2nd tour;22.49;22.36
60_3;PS;MICHEL FRANCAIX;2nd tour;26.77;19.95
60_4;UMP;ERIC WOERTH;2nd tour;40.77;25.31
60_5;PS;FABRICE DALONGEVILLE;2nd tour;23.84;18.36
60_6;PS;JEAN-PIERRE COSSIN;2nd tour;22.78;17.23
60_7;PS;CLAUDE GEWERC;2nd tour;25.28;19.26
61_1;UMP;BERTRAND DENIAUD;2nd tour;30.07;24.08
61_2;UMP;VÉRONIQUE LOUWAGIE;2nd tour;25.23;25.05
61_3;UMP;JÉRÔME NURY;2nd tour;29.25;22.12
62_1;PS;JEAN-JACQUES COTTEL;2nd tour;24.11;18.58
62_2;PS;JACQUELINE MAQUET;2nd tour;27.82;21.98
62_3;PS;GUY DELCOURT;2nd tour;27.19;20.45
