circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
35_8;EM;Florian BACHELIER;2nd tour;30.55;22.77
36_1;PS;Jean-Paul CHANTEGUET;2nd tour;14.46;6.52
36_2;EM;Sophie GUERIN;2nd tour;19.97;14.88
37_1;EM;Philippe CHALUMEAU;2nd tour;23.26;17.7
37_2;EM;Daniel LABARONNE;2nd tour;21.42;19.28
37_3;PS;Marisol TOURAINE;2nd tour;20.05;14.15
37_4;EM;Fabienne COLBOC;2nd tour;23.65;17.32
37_5;EM;Sabine THILLAYE;2nd tour;21.04;19.4
38_1;EM;Olivier VERAN;2nd tour;29.29;25.98
38_2;EM;Jean-Charles COLAS-ROY;2nd tour;26.34;18.0
38_3;EM;Emilie CHALAS;2nd tour;20.52;16.67
38_4;EM;Fabrice HUGELÉ;2nd tour;18.76;16.43
38_5;EM;Catherine KAMOWSKI;2nd tour;23.06;20.44
38_6;EM;Cendra MOTIN;2nd tour;24.92;15.02
38_7;EM;Monique LIMON;2nd tour;17.99;16.46
38_8;EM;Caroline ABADIE;2nd tour;27.76;14.96
38_9;EM;Elodie JACQUIER-LAFORGE;2nd tour;23.27;18.94
38_10;EM;Marjolaine MEYNIER-MILLEFERT;2nd tour;21.77;15.3
39_1;EM;Danielle BRULEBOIS;2nd tour;22.86;18.71
39_2;LR;Marie-Christine DALLOZ;2nd tour;16.82;14.5
39_3;EM;Paul-Henri BARD;2nd tour;18.56;14.04
40_1;EM;Geneviève DARRIEUSSECQ;2nd tour;25.36;22.89
40_2;EM;Lionel CAUSSE;2nd tour;25.83;22.64
40_3;EM;Jean-Pierre STEINER;2nd tour;23.6;19.04
41_1;EM;Marc FESNEAU;2nd tour;30.06;17.0
41_2;LR;Guillaume PELTIER;2nd tour;18.89;15.15
41_3;LR;;2nd tour;24.12;20.89
42_1;EM;Magalie VIALLON;2nd tour;22.19;15.16
42_2;EM;Jean-Michel MIS;2nd tour;21.73;16.67
42_3;EM;Valéria FAURE-MUNTIAN;2nd tour;17.99;14.86
42_4;EM;David KAUFFER;2nd tour;15.24;14.73
42_5;EM;Nathalie SARLES;2nd tour;19.42;16.7
42_6;EM;Julien BOROWCZYK;2nd tour;20.34;18.43
43_1;EM;Cécile GALLIEN;2nd tour;20.07;16.81
43_2;LR;Jean-Pierre VIGIER;2nd tour;23.08;21.35
44_1;EM;François DE RUGY;2nd tour;25.43;24.9
44_2;EM;Valérie OPPELT;2nd tour;30.83;22.33
44_3;EM;Anne-France BRUNET;2nd tour;24.01;19.85
44_4;EM;Aude AMADOU;2nd tour;27.61;20.89
44_5;EM;Sarah EL HAÏRY;2nd tour;29.39;22.68
44_6;EM;Yves DANIEL;2nd tour;23.12;20.93
44_7;EM;Sandrine JOSSO;2nd tour;24.82;22.75
44_8;EM;Audrey DUFEU SCHUBERT;2nd tour;22.6;19.05
44_9;EM;Yannick HAURY;2nd tour;21.18;19.6
44_10;EM;Sophie ERRANTE;2nd tour;24.82;24.4
45_1;EM;Stéphanie RIST;2nd tour;26.03;23.02
45_2;EM;Caroline JANVIER;2nd tour;23.48;17.33
45_3;EM;Jihan CHELLY;2nd tour;17.98;17.67
45_4;EM;Mélusine HARLÉ;2nd tour;19.78;13.69
45_5;EM;David SIMONNET;2nd tour;18.72;14.28
45_6;EM;Richard RAMOS;2nd tour;20.38;17.89
46_1;EM;Sébastien MAUREL;2nd tour;16.79;16.3
46_2;EM;Huguette TIEGNA;2nd tour;23.14;20.17
47_1;EM;Michel LAUZZANA;2nd tour;20.71;16.83
47_2;EM;Alexandre FRESCHI;2nd tour;25.54;14.9
47_3;EM;Olivier DAMAISIN;2nd tour;28.38;15.75
48_1;LR;Pierre MOREL A L'HUISSIER;2nd tour;19.41;17.81
49_1;EM;Matthieu ORPHELIN;2nd tour;21.93;20.32
49_2;EM;Stella DUPONT;2nd tour;26.83;23.77
49_3;LR;Jean-Charles TAUGOURDEAU;2nd tour;15.89;13.42
49_4;EM;Laëtitia SAINT-PAUL;2nd tour;22.38;19.52
49_5;EM;Denis MASSEGLIA;2nd tour;25.4;23.24
49_6;EM;Nicole DUBRE-CHIRAT;2nd tour;25.46;22.18
49_7;EM;Philippe BOLO;2nd tour;26.59;22.01
50_1;EM;Benoîte NOUET;2nd tour;21.43;18.32
50_2;EM;Bertrand SORRE;2nd tour;25.08;24.02
50_3;EM;Stéphane TRAVERT;2nd tour;25.54;23.56
50_4;EM;Blaise MISTLER;2nd tour;24.38;11.53
51_1;LR;Valérie BEAUVAIS;2nd tour;15.88;12.27
51_2;EM;Aina KURIC;2nd tour;18.72;16.2
51_3;EM;Éric GIRARDIN;2nd tour;18.65;14.56
51_4;LR;Lise MAGNIER;2nd tour;14.16;9.93
51_5;EM;Bertrand TREPO;2nd tour;13.24;10.5
52_1;EM;Bérangère ABBA;2nd tour;18.57;15.93
52_2;LR;François CORNUT-GENTILLE;2nd tour;26.18;15.9
53_1;PS;Guillaume GAROT;2nd tour;20.81;16.32
53_2;EM;Géraldine BANNIER;2nd tour;23.64;19.39
53_3;EM;Josselin CHOUZY;2nd tour;19.32;15.73
54_1;EM;Carole GRANDJEAN;2nd tour;21.41;17.15
54_2;EM;Laurent GARCIA;2nd tour;26.62;21.68
54_3;EM;Xavier PALUSZKIEWICZ;2nd tour;15.6;12.22
