numéro département;code circonscription;nom;nuance_politique;modele2rounded;voix_reel_t1_2017
10;1;Michel BACH;LFI;4500;2500
10;1;Marie GATARD-LAFOND;PCF;789;558
10;2;Virgil HENNEQUIN;PS;2344;976
10;2;Jean-Christophe LEFEVRE;FN;10248;8041
10;2;Elise GEHIN;LFI;3278;2829
10;2;Gisèle MALAVAL;PCF;679;566
10;2;Valérie BAZIN-MALGRAS;LR;8108;8947
10;2;Djamila HADDAD;EM;10130;11251
10;3;Arnaud PACOT;PCF;773;622
10;3;Angélique RANC;FN;7901;6697
10;3;Yves BOUTEILLER;LFI;5056;3182
10;3;Gérard MENUEL;LR;7697;7373
10;3;Laurent STOCCO;LR;1088;589
10;3;Nelly COLLOT-TOUZÉ;EELV;447;624
10;3;David BLANCHON;PS;2512;1184
10;3;Pascal LANDRÉAT;EM;10602;10180
11;1;Hervé BOISSONADE;LR;1294;882
11;1;Miren DE LORGERIL;LR;5737;4712
11;1;Yamina MAMOU;LR;713;599
11;1;Nicole ESCOURBIAC;EELV;822;578
11;1;Marine TORO;LFI;7488;6964
11;1;Mylène VESENTINI;PCF;1135;1462
11;1;Danièle HÉRIN;EM;11700;13486
11;1;Christophe BARTHÈS;FN;14576;11199
11;1;Alain GINIES;PS;4554;4868
11;2;Marie-Hélène FABRE;PS;4402;5786
11;2;Jean-Hugues SILBERMAN;LFI;9467;5244
11;2;Jean-François DARAUD;FN;13332;8492
11;2;Michel PY;LR;8093;6842
11;2;Alain PEREA;EM;11665;11729
11;2;Xavier VERDEJO;PCF;993;1296
11;2;André JACQUES;LR;1230;586
11;2;Marie-Laure ARRIPE;EELV;631;1025
11;3;Catherine VERGÉ;LR;5487;5197
11;3;Manon LE BRETTON;LFI;8252;7185
11;3;Mireille ROBERT;EM;11425;14223
11;3;Daniel DEDIES;EELV;2258;1539
11;3;Christelle DE L'EPINOIS;FN;10989;9053
11;3;André VIOLA;PS;5528;9430
12;1;Pierre DEFONTAINES;LFI;6033;4756
12;1;Stéphane MAZARS;EM;15900;19962
12;1;Sarah VIDAL;PS;3726;3569
12;1;Christian LAMMENS;EELV;974;937
12;1;Anne MINIER;PCF;805;367
12;1;Matthieu DANEN;FN;5080;3232
12;1;Yves CENSI;LR;12887;9923
12;2;Bertrand CAVALERIE;PS;3765;4567
12;2;André AT;LR;5812;8110
12;2;Pascal MAZET;LFI;6925;6478
12;2;Guy PEZET;EELV;1787;1750
12;2;Anne BLANC;EM;12416;15563
12;2;Bruno LELEU;FN;4696;3212
12;3;Jean-Louis AUSTRUY;EM;14107;13122
12;3;Sophie TARROUX;PCF;1224;1556
12;3;Arnaud VIALA;LR;8176;14525
12;3;Muriel ABRIAC;FN;5165;3476
12;3;Catherine LAUR;LFI;5761;5124
12;3;Thierry NOËL;EELV;1561;529
12;3;Henri TEMPLE;LR;1086;465
13;1;Paul ROUDIER;LR;964;483
13;1;Valérie BOYER;LR;8496;8481
13;1;Christine DIDON;PCF;575;839
13;1;Pascal CHAMASSIAN;EM;9421;10111
13;1;Bernard BORGIALLI;LFI;7069;4205
13;1;Gérard OREGGIA;PS;2790;883
13;1;Franck ALLISIO;FN;11446;6834
13;2;Bernadette MONETTO;LR;649;547
13;2;Caroline SICARD;FN;7219;5012
13;2;Christine JUSTE;EELV;697;1532
13;2;Dominique TIAN;LR;12047;9933
13;2;Ariane GIL;LFI;5124;4124
13;2;Annie LEVY-MOZZICONACCI;PS;3149;1326
13;2;Audrey GARINO;PCF;553;1128
13;2;Claire PITOLLAT;EM;11865;14372
13;3;Simone CHARIN;LR;584;314
13;3;Stéphane RAVIER;FN;21163;9024
13;3;Karim MOUACI;EELV;1368;493
13;3;Sarah SOILIHI;LFI;5659;5403
13;3;Alexandra LOUIS;EM;7575;7284
13;3;Anne DI MARINO;PS;2746;1306
13;3;Richard MIRON;LR;5007;3778
13;4;Jeanne MARTI;FN;3649;2692
13;4;Corinne VERSINI;EM;6655;5587
13;4;Lydie GANDON;EELV;1353;409
13;4;Jean-Luc MÉLENCHON;LFI;25164;8460
13;4;Gabriel DUPLAIX;LR;266;147
13;4;Solange BIAGGI;LR;2265;2621
13;4;Patrick MENNUCCI;PS;3799;3065
13;5;Hendrik DAVI;LFI;8972;6296
13;5;Jean-François LUC;FN;6841;4764
13;5;Cathy RACON-BOUZON;EM;10167;9621
13;5;Daniel VANETTI;EELV;1221;833
13;5;Yves MORAINE;LR;6126;6253
13;5;Isabelle PASQUET;PCF;939;1035
13;5;Mathilde GOUIN;LR;482;366
13;6;Eléonore BEZ;FN;9316;6171
13;6;Eléonore LEPRETTRE;EM;10218;11169
13;6;Guy TEISSIER;LR;6836;8659
13;6;Anthony GONÇALVES;PCF;802;969
13;6;Hervé MENCHON;EELV;1092;1115
13;6;Véronique PUCCINI;LR;727;315
13;6;Annie GAL;LFI;6101;3894
13;7;Henri JIBRAYEL;PS;3010;3511
13;7;Arlette FRUCTUS;LR;260;1121
13;7;Sophie GRECH;FN;6686;4789
13;7;Jean-Marc COPPOLA;PCF;774;1661
13;7;Ouali BRINIS;LFI;9262;3064
13;7;Jean-Marc CORTEGGIANI;LR;413;362
13;7;Saïd AHAMADA;EM;6271;4125
13;7;Lydia FRENTZEL;EELV;501;551
13;8;Mathieu SAINTAGNE;EELV;781;1029
13;8;Sandra DALBIN;LR;8629;7062
13;8;Michel FRATE;PCF;726;931
13;8;Clément ACAR;PS;3534;1202
13;8;Nadia GRAINDORGE;LFI;7689;5103
13;8;Christiane PUJOL;LR;1290;997
13;8;Jean-Marc ZULESI;EM;13483;15850
13;8;Antoine BAUDINO;FN;13758;11041
13;9;Sylvie BRUNET;EM;10897;13655
13;9;Colette GEREUX;LR;975;491
13;9;Boualam AKSIL;EELV;1532;223
13;9;Stéphanie HARKANE;PS;2612;812
13;9;Sylvie PILLE-LESOU;LFI;8504;6918
13;9;Bernard DEFLESSELLES;LR;9484;10558
13;9;Hervé ITRAC;FN;13720;8153
13;10;Eric SORDET;PCF;835;2151
13;10;Laurent JACOBELLI;FN;16600;10862
13;10;François-Michel LAMBERT;EM;21937;16122
13;10;Bastien BEAUDOIN;LR;1543;808
13;10;Jacques CHARTON;LFI;10128;5317
13;10;Bruno GENZANA;LR;1148;5615
13;10;Vincent COULOMB;PS;3157;842
13;10;Rémy CARRODANO;EELV;778;1486
13;11;Christian KERT;LR;9094;8041
13;11;André MOLINO;PCF;897;2449
13;11;Maximilien FUSONE;FN;10654;7413
13;11;Mohamed LAQHILA;EM;14615;14495
13;11;Claudie HUBERT;LFI;7363;4489
13;11;Gérald UBAUD;LR;1046;586
13;11;Dorian HISPA;EELV;1274;1410
13;12;Eric DIARD;LR;8143;9819
13;12;Laurence JOUANAUD;PCF;688;1734
13;12;Camille BAL;EM;9090;9428
13;12;Damien MERONO;LFI;6623;4044
13;12;Isabelle ROVARINO;PS;2949;1263
13;12;Nathalie SIRBEN;EELV;622;1031
13;12;Jean-Lin LACAPELLE;FN;16539;8706
13;12;Gérard FAISSAL;LR;1291;513
13;13;Jean-Luc DI MARIA;LR;5573;3718
13;13;Lionel JAREMA;PS;3008;804
13;13;Magali SIREROLS;EM;8583;10159
13;13;Fabienne BONTEMPS;LR;568;1074
13;13;Audrey CORRAL;LR;889;942
13;13;Eveline LELIEUR;EELV;573;1135
13;13;Emmanuel FOUQUART;FN;14600;10073
13;13;Pierre DHARRÉVILLE;PCF;1064;12435
13;14;Jean-David CIOT;PS;5200;4096
13;14;Anne-Laurence PETEL;EM;14642;17552
13;14;Olivia FRANZI-LABIAD;EELV;891;59
13;14;Nathalie CHEVILLARD;FN;9657;6119
13;14;Pierre CAYOL;LR;1050;558
13;14;Josiane DURRIEU;PCF;771;1081
13;14;Stéphane PAOLI;LR;11429;7937
13;14;Hélène LE CACHEUX;LFI;7308;6024
13;15;Nathalie FARRO;EM;12962;15941
13;15;Michèle JUNG;LFI;7991;5448
13;15;Florence CASTANET;PCF;958;944
13;15;Lucas GARCIA MATEO;LR;1576;838
13;15;Jean-Alexandre MOUSSET-SEISSON;FN;16179;11068
13;15;Hélène HAENSLER;EELV;1340;1711
13;15;Bernard REYNÈS;LR;10843;13488
13;16;Alice GREETHAM;EELV;1371;961
13;16;Valérie LAUPIES;FN;13981;11951
13;16;Laura TAMBORINI;LR;851;646
13;16;Monica MICHEL;EM;8964;11351
13;16;Gérard GERON;LFI;11090;6662
13;16;Marie-Pierre CALLET;LR;5939;5734
13;16;Nora MEBAREK;PS;3516;2447
14;1;Rudy L'ORPHELIN;EELV;1054;2203
14;1;Annie PELLUET;LR;689;386
14;1;Fabrice LE VIGOUREUX;EM;17193;14196
14;1;Chantal HENRY;FN;4237;2752
14;1;Sonia DE LA PROVÔTÉ;LR;812;6163
14;1;Eric VÈVE;PS;4700;3140
14;1;Marie-Jeanne GOBERT;PCF;1042;949
14;1;Karinne GUALBERT;LFI;5616;4467
14;2;Noëlle LE MAULF;EELV;856;1269
14;2;Gérard LENEVEU;PCF;1091;1261
14;2;Laurence DUMONT;PS;4783;6842
14;2;Aminthe RENOUF;LR;4331;3335
14;2;Christine BONNISSENT;LR;686;386
14;2;Eric HALPHEN;EM;12785;11522
14;2;Etienne BRASSELET;LFI;6677;4069
14;2;Sabrina JORET;FN;5206;3351
14;3;Serge LOISEAU;PCF;882;676
14;3;Jacques BESSIN;EELV;708;794
14;3;Clotilde VALTER;PS;3899;6251
14;3;Sébastien LECLERC;LR;7860;8123
14;3;Didier CANU;LFI;5788;3370
14;3;Steven MAFIODO;LR;1068;621
14;3;Florence LEHERICY;EM;10141;11602
14;3;Christelle LECHEVALIER-LETARD;FN;9294;6702
14;4;Nicole AMELINE;LR;13619;12186
14;4;Alain ASTRESSE;LR;1473;960
14;4;Stéphane POUSSIER;LFI;6755;2837
14;4;Pierre MOURARET;PCF;1049;2814
14;4;Xavier MADELAINE;PS;4293;2927
14;4;Philippe FOUCHÉ-SAILLENFEST;FN;9006;5884
14;4;Christophe BLANCHET;EM;18612;20338
14;4;Sophie BÖRNER;EELV;925;2113
14;5;Cédric NOUVELOT;LR;8297;10926
14;5;Christophe SADY;EELV;2431;1304
14;5;Bertrand BOUYX;EM;21643;18388
14;5;Christine BISSON;FN;8542;5991
14;5;Eric BEAUDOIN;LR;1277;664
14;6;Alain TOURRET;EM;25610;17108
14;6;Virginie POIRIER;PCF;1690;622
14;6;Jean-Philippe ROY;FN;9581;6262
14;6;Paul DEMEILLIERS;LFI;6769;4767
14;6;Hubert PICARD;LR;995;5627
14;6;Thomas GALLICE;LR;1328;746
15;1;Thierry BONHOURE;LFI;5335;3407
15;1;Jean-François BARRIER;PCF;1008;873
15;1;Marie-Claire NATHER;FN;4257;2191
15;1;François DANEMANS;EM;12423;12411
15;1;Vincent DESCOEUR;LR;7714;11165
15;2;Gilles LACROIX;FN;4239;1766
15;2;Jean-Yves BONY;LR;6721;9381
15;2;Marc PETITJEAN;PS;1792;1258
15;2;Elise BRUGIERE;EELV;464;818
15;2;Jérôme DUMAS;LR;679;351
15;2;Patricia ROCHES;EM;7864;6929
15;2;François BOISSET;PCF;464;1998
16;1;Djillali MERIOUA;PCF;1155;1822
16;1;Martine PINVILLE;PS;5603;4642
16;1;Thomas MESNIER;EM;14211;15228
16;1;Martine BOUTIN;LFI;6142;5331
16;1;Geoffray GOURRÉ;FN;6254;3756
16;1;Elise VOUVET;LR;6371;4586
16;1;Odile ACHARD;EELV;964;1605
16;2;Pascaline BRISSET;LR;820;694
16;2;Pascale LACOURARIE;EELV;759;1404
16;2;Marianne REYNAUD-JEANDIDIER;PS;3789;4048
16;2;Claudine PONCY;PCF;961;549
16;2;Daniel SAUVAITRE;LR;9261;6637
16;2;Isabelle LASSALLE;FN;7736;5833
16;2;Sandra MARSAUD;EM;11999;14773
16;2;Nathalie JABLI;LFI;5171;4840
16;3;Véronique GRÉGORI-BACHELIER;LFI;6597;4557
16;3;Brigitte FOURÉ;LR;764;7319
16;3;Madeleine NGOMBET BITOO;EM;12864;13247
16;3;Christophe MAUVILLAIN;PCF;1255;2065
16;3;Aurélie DE AZEVEDO;FN;8173;6058
16;3;Annie BRAGG;LR;1171;711
16;3;Jérôme LAMBERT;PS;5200;9844
16;3;Anabelle SICRE;EELV;861;1371
17;1;Jean-Marc SOUBESTE;EELV;2128;2040
17;1;Jean Marc DE LACOSTE LAREYMONDIE;FN;5698;3671
17;1;Cedric RUFFIE;LFI;10557;5703
17;1;Brahim JLALJI;PCF;2032;712
17;1;Bruno LEAL;LR;9456;5134
17;1;Otilia FERREIRA;EM;19376;14095
17;2;Jean-Louis LEYGONIE;FN;8718;6292
17;2;Maud ASSILA;LFI;9584;7915
17;2;Sylvie MARCILLY;LR;7403;9878
17;2;Fréderique TUFFNELL;EM;17223;19612
17;2;Dominique DROIN;LR;1401;736
17;2;Brigitte DESVEAUX;EELV;1645;3369
17;2;Michele GRENIER;PCF;1912;828
17;3;Remy CATROU;LFI;6609;5450
17;3;Henriette DIADIO-DASYLVA;LR;762;876
17;3;Frederic NEVEU;LR;9625;5979
17;3;Jean-Philippe ARDOUIN;EM;12735;11543
17;3;Joelle DE CORTE;EELV;775;372
17;3;Marie-France MOQUET;PCF;1131;541
17;3;Rachel COINTET;FN;7700;5717
17;3;Francoise MESNARD;PS;3712;4084
17;4;Lucie KIRCHNER;LFI;4582;5324
17;4;Pascal PELLERIN;PCF;992;568
17;4;Isabelle TEXIER;FN;9257;7556
17;4;Laurence MARCILLAUD;EELV;717;1194
17;4;Éric DEVISE;LR;1581;782
17;4;Loic GIRARD;LR;9385;9872
17;4;Fabienne DUGAS-RAVENEAU;PS;3583;2536
17;4;Raphaël GÉRARD;EM;13814;15055
17;5;Mickael VALLET;PS;12795;7355
17;5;Severine WERBROUCK;FN;11293;8444
17;5;Didier QUENTIN;LR;18561;12933
17;5;Jacques GUIARD;PCF;1133;569
17;5;Geoffrey LEBRETON PEREZ;LFI;6590;4936
17;5;Maurice MONTANGON;LR;1891;863
18;1;Frédéric RENARD;LFI;6034;4793
18;1;Laurent SORCELLE;LR;857;1095
18;1;François CORMIER-BOULIGEON;EM;11778;12977
18;1;Françoise POUZET;EELV;1061;1181
18;1;Wladimir D'ORMESSON;LR;6756;7393
18;1;Jean-René COUEILLE;FN;6640;4981
18;1;Céline BEZOUI;PS;3156;2501
18;2;Sophie BERTRAND;LR;5698;4471
18;2;Nicolas SANSU;PCF;1254;7919
18;2;Martine RAIMBAULT;FN;6810;5328
18;2;Nadia ESSAYAN;EM;9263;10794
18;2;Agnès SINSOULIER-BIGOT;PS;2350;1216
18;3;Magali BESSARD;PCF;1011;1392
18;3;Éric THEVENIN;LR;1324;1222
18;3;Loïc KERVRAN;EM;12715;13703
18;3;Jean RIFFET;LFI;6447;4140
18;3;Yann GALUT;PS;4494;8120
18;3;Olivier BEATRIX;LR;904;3504
18;3;Catherine MENGUY;EELV;686;954
18;3;Louis COSYNS;LR;6954;168
18;3;Jordan LE GOÏC;FN;9770;6534
19;1;Bernard COMBES;PS;3672;9666
19;1;Jean MOUZAT;PCF;1296;4203
19;1;Jean-Marc VAREILLE;LFI;9079;6240
19;1;Antoine BEHR;LR;1060;853
19;1;Agnès TARRASO;FN;6311;4884
19;1;Christophe JERRETIE;EM;18283;17534
19;1;Françoise BÉZIAT;LR;7287;8194
19;1;Mumine OZSOY;EELV;1202;1100
19;2;Patricia BORDAS;EM;15392;14887
19;2;Philippe NAUCHE;PS;5820;6872
19;2;Bruno MEURA;EELV;968;382
19;2;Philippe TILLET;PCF;1113;1408
19;2;Selin ERSOY;LFI;5006;5596
19;2;Jean-Pierre MORET;FN;7273;4241
19;2;Jean-Pierre FAURIE;LR;1256;604
19;2;Frédérique MEUNIER;LR;7836;10611
21;1;Sladana ZIVKOVIC;PS;3843;3129
21;1;Arnaud GUVENATAM;LFI;4514;3991
21;1;Olivier MULLER;EELV;982;1540
21;1;Marie POINSEL;PCF;832;530
21;1;Fatima ARJI;LR;697;122
21;1;Didier MARTIN;EM;14638;13446
