Dept_circo;Nom;Prenom;nuance;voix;%Voix/inscrit;%Voix/exprimes;Acces
30_4;CIUTI;PATRICE;EXG;167;0,19;0,31;N
30_5;RIVRON;ALAIN;EXG;162;0,17;0,28;N
30_6;TERBECHE;AÃCHA;EXG;125;0,16;0,28;N
31_1;SERTILLANGE;JEAN-PIERRE;EXG;140;0,18;0,33;N
31_2;LASERGE;MICHEL;EXG;181;0,19;0,33;N
31_3;TORREMOCHA;SANDRA;EXG;111;0,15;0,25;N
31_4;DUPIN;THIERRY;EXG;60;0,09;0,17;N
31_5;COMBES;VINCENT;EXG;308;0,34;0,57;N
31_6;PUEL;MICHÃˆLE;EXG;341;0,33;0,55;N
31_7;LAFLORENTIE;ANNE-MARIE;EXG;396;0,43;0,71;N
31_8;GUIRAUD;MARTINE;EXG;303;0,36;0,59;N
31_9;MARTIN;HENRI;EXG;204;0,27;0,48;N
31_10;DUMEUNIER;JACQUES;EXG;111;0,13;0,19;N
32_1;CHARETON;JEAN-LOUIS;EXG;204;0,28;0,45;N
32_2;BOURGUIGNON;ANNE;EXG;180;0,26;0,40;N
33_1;LACOSTE;DENIS;EXG;132;0,15;0,27;N
33_2;DUPONT;GUY;EXG;97;0,16;0,27;N
33_3;VENTURE;JEAN-LUC;EXG;214;0,29;0,51;N
33_4;BRIVARY;ANNE-ISABELLE;EXG;323;0,37;0,70;N
33_5;BEN HADJ SALEM;MAROUANI;EXG;131;0,13;0,22;N
33_6;MALATY;NELLY;EXG;239;0,25;0,42;N
33_7;LAVAUD;JEAN-PIERRE;EXG;99;0,14;0,23;N
33_8;TEXIER;SOLANGE;EXG;164;0,17;0,28;N
33_9;DELCAMP;JEAN-PHILIPPE;EXG;306;0,36;0,59;N
33_10;ORATTO;MONIQUE;EXG;192;0,24;0,41;N
33_11;BAQUE;CHRISTIAN;EXG;211;0,24;0,42;N
33_12;AHMIMOU;ZINA;EXG;151;0,19;0,31;N
34_1;DOMELEVO ENTFELLNER;JEAN-BAKA;EXG;150;0,19;0,33;N
34_2;SPARFEL;JEAN-PIERRE;EXG;72;0,12;0,24;N
34_3;LARUE;FLORENCE;EXG;122;0,16;0,25;N
34_4;ARAYA;MARIA-ANTONIETA;EXG;135;0,13;0,22;N
34_5;LAUNAIS;MARYSE;EXG;290;0,32;0,53;N
34_6;GILHODES;LAURENT;EXG;157;0,18;0,31;N
34_7;MOULIN;BRIGITTE;EXG;270;0,28;0,46;N
34_8;MICHEL;DIDIER;EXG;172;0,21;0,37;N
34_9;OLINET;AGNÃˆS;EXG;188;0,25;0,43;N
35_1;HAMON;VALÃ‰RIE;EXG;256;0,29;0,52;N
35_2;DEFRANCE;FLORENCE;EXG;324;0,37;0,61;N
35_3;PRIET;PIERRE;EXG;175;0,21;0,36;N
35_4;CHIRAZI;SANDRA;EXG;388;0,46;0,80;N
35_5;HAMARD;FRANÃ‡OISE;EXG;490;0,50;0,86;N
35_6;HUBERT;LUDOVIC;EXG;314;0,37;0,62;N
35_7;DESCOTTES;EDOUARD;EXG;170;0,18;0,30;N
35_8;MONNIER;GÃ‰RARD;EXG;135;0,17;0,30;N
36_1;MILON;ELISABETH;EXG;187;0,23;0,39;N
36_2;MOREAU;CATHERINE;EXG;387;0,42;0,70;N
37_1;BRUNET;ANNE;EXG;183;0,28;0,51;N
37_2;OLIVIER;PAUL;EXG;176;0,21;0,35;N
37_3;DELORE;CLAIRE;EXG;166;0,18;0,29;N
37_4;EVANO;CÃ‰CILE;EXG;200;0,23;0,38;N
37_5;NEVEU;MARIE-CLAUDE;EXG;249;0,31;0,51;N
38_1;ADAM;RÃ‰MI;EXG;109;0,14;0,22;N
38_2;GOMEZ;CHANTAL;EXG;196;0,26;0,46;N
38_3;EXCOFFON;GEOFFREY;EXG;100;0,17;0,31;N
38_4;ZIEGLER;JEAN-ALAIN;EXG;212;0,24;0,41;N
38_5;TULIPE;CHRISTINE;EXG;187;0,19;0,32;N
38_6;PONSARD;DOMINIQUE;EXG;179;0,23;0,42;N
38_7;PERRODIN;BRUNO;EXG;224;0,26;0,43;N
38_8;LACAILLE;JACQUES;EXG;176;0,23;0,40;N
38_9;DETROYAT;CLAUDE;EXG;307;0,33;0,58;N
38_10;AGERON;CLAUDE;EXG;188;0,21;0,39;N
39_1;KOLLER;ODILE;EXG;108;0,17;0,26;N
39_2;MARCHAL;ISABELLE;EXG;145;0,26;0,44;N
39_3;BERTHAULT;JACQUES;EXG;223;0,33;0,52;N
40_1;SOURBES;CHRISTIAN;EXG;320;0,33;0,55;N
40_2;CASTERA;PASCAL;EXG;276;0,26;0,45;N
40_3;ISIDORI;MARC;EXG;254;0,27;0,42;N
41_1;LOMBARD;ALAIN;EXG;189;0,23;0,41;N
41_2;AUBRUN;DOMINIQUE;EXG;216;0,27;0,45;N
41_3;LAMY;CLAUDE;EXG;284;0,34;0,55;N
42_1;BROSSARD;ROMAIN;EXG;143;0,21;0,39;N
42_2;BOUCHET;PASCAL;EXG;106;0,18;0,36;N
42_3;MOULIN;ANDRÃ‰;EXG;246;0,31;0,53;N
42_4;COTE;ODILE;EXG;430;0,43;0,74;N
42_5;DUMAS;GÃ‰RARD;EXG;698;0,69;1,14;N
42_6;MAISONNETTE;CÃ‰CILE;EXG;315;0,30;0,51;N
43_1;CHAMBON;MAX;EXG;297;0,31;0,48;N
43_2;BOUBAULT;ANNIE;EXG;322;0,40;0,67;N
44_1;BAZILLE;NICOLAS;EXG;156;0,21;0,36;N
44_2;DEFRANCE;HÃ‰LÃˆNE;EXG;147;0,18;0,31;N
44_3;DOLIDON;HÃ‰LÃˆNE;EXG;186;0,21;0,37;N
44_4;RAYNAUD;PAUL;EXG;251;0,30;0,50;N
44_5;BRÃ‰US;JEAN-PIERRE;EXG;159;0,15;0,25;N
44_6;HELOU;CHRISTOPHE;EXG;333;0,31;0,52;N
44_7;BELIN;MARIE-FRANCE;EXG;270;0,26;0,44;N
