link2;nom;departement;circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixModele1;%_voix/ins;%_voix/exp;prediction;modele2Voix;modele2rounded
Philippe BUVAT_3_2;Philippe BUVAT;3;2;M;BUVAT;Philippe;53;EELV;3;Non;Non;Non;10.5;45.1561753824;7;2282;2.7;4.8;-0.144034007764;1637.8783123364283;1638
Laurence VANCEUNEBROCK-MIALON_3_2;Laurence VANCEUNEBROCK-MIALON;3;2;F;VANCEUNEBROCK-MIALON;Laurence;47;EM-MODEM;4;Non;Non;Non;10.5;45.1561753824;7;12373;14.62;26.03;-0.0244068769431;11696.82886884952;11697
Jean DEMASSE_3_2;Jean DEMASSE;3;2;M;DEMASSE;Jean;69;LR-UMP;2;Non;Non;Non;10.5;45.1561753824;7;1397;1.65;2.94;-0.126666199151;1043.5907162206531;1044
Bénédicte PEYROL_3_3;Bénédicte PEYROL;3;3;F;PEYROL;Bénédicte;26;EM-MODEM;3;Non;Non;Non;10.5;45.1561753824;7;13557;17.13;29.69;-0.0211737150381;12911.891887755311;12912
Pascal DEVOS_3_3;Pascal DEVOS;3;3;M;DEVOS;Pascal;53;EELV;5;Non;Non;Non;10.5;45.1561753824;7;2701;3.41;5.92;-0.179045028221;1788.461336870238;1788
Gabriel MAQUIN_3_3;Gabriel MAQUIN;3;3;M;MAQUIN;Gabriel;67;LR-UMP;2;Non;Non;Oui;10.5;45.1561753824;7;9105;11.5;19.94;-0.12148442125;6883.2814678831355;6883
Marie-Laure BECOUZE_3_3;Marie-Laure BECOUZE;3;3;F;BECOUZE;Marie-Laure;21;LR-UMP;5;Non;Non;Non;10.5;45.1561753824;7;1477;1.87;3.23;-0.201632338647;928.4278439662947;928
Jean-Pierre SIGAUD_3_3;Jean-Pierre SIGAUD;3;3;M;SIGAUD;Jean-Pierre;69;FN;7;Non;Non;Non;10.5;45.1561753824;7;10029;12.67;21.96;-0.121444527086;7582.511963917068;7583
Marie-Thérèse DUPUIS_3_3;Marie-Thérèse DUPUIS;3;3;F;DUPUIS;Marie-Thérèse;55;FG-FI;7;Non;Non;Non;10.5;45.1561753824;7;8791;11.11;19.25;-0.103845861153;6921.375620816817;6921
Gérard ESMIOL_4_1;Gérard ESMIOL;4;1;M;ESMIOL;Gérard;57;EXG;3;Non;Non;Non;11.6;44.6698681255;8;1094;1.79;3.61;-0.109300609981;850.5830264165725;851
Emmanuelle GAZIELLO_4_1;Emmanuelle GAZIELLO;4;1;F;GAZIELLO;Emmanuelle;56;FG-FI;7;Non;Non;Non;11.6;44.6698681255;8;7638;12.48;25.2;-0.111058439583;5914.543284626252;5915
Delphine BAGARRY_4_1;Delphine BAGARRY;4;1;F;BAGARRY;Delphine;47;EM-MODEM;3;Non;Non;Non;11.6;44.6698681255;8;9272;15.15;30.6;-0.0396908045465;8462.187002635355;8462
Colette CHARRIAU_4_1;Colette CHARRIAU;4;1;F;CHARRIAU;Colette;53;EELV;3;Non;Non;Non;11.6;44.6698681255;8;1358;2.22;4.48;-0.191245408136;874.287686492969;874
Brigitte BEAUMEYER_4_1;Brigitte BEAUMEYER;4;1;F;BEAUMEYER;Brigitte;58;LR-UMP;3;Non;Non;Non;11.6;44.6698681255;8;776;1.27;2.56;-0.144815549069;555.9633615926336;556
Odile BRUN_4_1;Odile BRUN;4;1;F;BRUN;Odile;59;FN;2;Non;Non;Non;11.6;44.6698681255;8;9027;14.75;29.79;-0.0537379164216;7976.374309506144;7976
Marie-Anne BAUDOUI MAUREL_4_1;Marie-Anne BAUDOUI MAUREL;4;1;F;BAUDOUI MAUREL;Marie-Anne;59;LR-UMP;3;Non;Non;Non;11.6;44.6698681255;8;1140;1.86;3.76;-0.160451830499;787.8672004737165;788
Sébastien GINET_4_2;Sébastien GINET;4;2;M;GINET;Sébastien;28;LR-UMP;3;Non;Non;Oui;11.6;44.6698681255;8;7233;11.07;19.17;-0.129448144334;5368.714639690179;5369
Noël CHUISANO_4_2;Noël CHUISANO;4;2;M;CHUISANO;Noël;59;LR-UMP;3;Non;Non;Non;11.6;44.6698681255;8;1148;1.76;3.04;-0.0875938229522;938.3137167471011;938
Léo WALTER_4_2;Léo WALTER;4;2;M;WALTER;Léo;45;FG-FI;3;Non;Non;Non;11.6;44.6698681255;8;8235;12.6;21.83;-0.0176829574546;7906.433928923792;7906
Christophe CASTANER_4_2;Christophe CASTANER;4;2;M;CASTANER;Christophe;51;EM-MODEM;4;Oui;Oui;Non;11.6;44.6698681255;8;10161;15.55;26.94;0.126998639703;15387.818720394112;15388
Christian GIRARD_4_2;Christian GIRARD;4;2;M;GIRARD;Christian;65;FN;7;Non;Non;Non;11.6;44.6698681255;8;8305;12.71;22.02;-0.0459252116082;7471.613965334592;7472
Isabelle THIBAULT_4_2;Isabelle THIBAULT;4;2;F;THIBAULT;Isabelle;48;EXG;5;Non;Non;Non;11.6;44.6698681255;8;1185;1.81;3.14;-0.111535252774;916.6068480481904;917
Claudine RAZEAU_4_2;Claudine RAZEAU;4;2;F;RAZEAU;Claudine;70;EELV;7;Non;Non;Non;11.6;44.6698681255;8;1455;2.23;3.86;-0.27191515424;777.9431106083223;778
Chantal SARRUT_5_1;Chantal SARRUT;5;1;F;SARRUT;Chantal;70;EELV;7;Non;Non;Non;9.15;43.4663956196;8;849;1.47;2.5;-0.236924463032;492.0205331018129;492
Catherine ASSO_5_1;Catherine ASSO;5;1;F;ASSO;Catherine;47;LR-UMP;4;Non;Non;Oui;9.15;43.4663956196;8;7605;13.17;22.36;-0.166448421895;5183.830546381193;5184
Patrick DEROIN_5_1;Patrick DEROIN;5;1;M;DEROIN;Patrick;64;FN;7;Non;Non;Non;9.15;43.4663956196;8;7354;12.74;21.62;-0.0891913709635;5988.695816787712;5989
Éléonore FLANDIN_5_1;Éléonore FLANDIN;5;1;F;FLANDIN;Éléonore;35;FG-FI;5;Non;Non;Non;9.15;43.4663956196;8;5957;10.32;17.51;-0.171355574326;4014.874975663055;4015
Karine BERGER_5_1;Karine BERGER;5;1;F;BERGER;Karine;44;PS;3;Oui;Oui;Oui;9.15;43.4663956196;8;2765;4.79;8.13;0.0717578607785;3370.56491369914;3371
Pascale BOYER_5_1;Pascale BOYER;5;1;F;BOYER;Pascale;51;EM-MODEM;4;Non;Non;Non;9.15;43.4663956196;8;8741;15.14;25.69;-0.0301340549415;8155.058209175611;8155
Pierre VILLARD_5_1;Pierre VILLARD;5;1;M;VILLARD;Pierre;53;EXG;4;Non;Non;Non;9.15;43.4663956196;8;748;1.3;2.2;-0.0997134215964;594.5497163709344;595
Joël GIRAUD_5_2;Joël GIRAUD;5;2;M;GIRAUD;Joël;57;EM-MODEM;3;Oui;Oui;Non;9.15;43.4663956196;8;8598;16.48;34.47;0.131436217813;13297.890971040424;13298
Chantal EYMEOUD_5_2;Chantal EYMEOUD;5;2;F;EYMEOUD;Chantal;60;LR-UMP;3;Non;Non;Non;9.15;43.4663956196;8;762;1.46;3.06;-0.16909124941;516.2543474443232;516
Christophe TASSAUX_5_2;Christophe TASSAUX;5;2;M;TASSAUX;Christophe;46;FG-FI;5;Non;Non;Non;9.15;43.4663956196;8;7556;14.49;30.3;-0.0973858601868;6038.180468977444;6038
Agnès ANTOINE_5_2;Agnès ANTOINE;5;2;F;ANTOINE;Agnès;56;EELV;8;Non;Non;Non;9.15;43.4663956196;8;2107;4.04;8.45;-0.179489037937;1393.7198890341326;1394
Laurence LEGUEM_5_2;Laurence LEGUEM;5;2;F;LEGUEM;Laurence;50;FN;2;Non;Non;Non;9.15;43.4663956196;8;5918;11.35;23.73;-0.0991419375776;4710.131403263819;4710
Moussa BA_6_1;Moussa BA;6;1;M;BA;Moussa;35;EELV;3;Non;Non;Non;10.55;43.6876489503;8;1769;2.2;3.9;-0.100726376804;1402.8184079339167;1403
Jean-Pierre DAUGREILH_6_1;Jean-Pierre DAUGREILH;6;1;M;DAUGREILH;Jean-Pierre;74;FN;3;Non;Non;Non;10.55;43.6876489503;8;10115;12.57;22.28;-0.0829276351844;8356.766199711861;8357
Caroline REVERSO-MEINIETTI_6_1;Caroline REVERSO-MEINIETTI;6;1;F;REVERSO-MEINIETTI;Caroline;31;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;11232;13.96;24.74;-0.0281302079192;10527.539676242426;10528
Thomas CALVIFIORI_6_1;Thomas CALVIFIORI;6;1;M;CALVIFIORI;Thomas;27;LR-UMP;5;Non;Non;Non;10.55;43.6876489503;8;1005;1.25;2.21;-0.148594569502;713.7916976991102;714
Eric CIOTTI_6_1;Eric CIOTTI;6;1;M;CIOTTI;Eric;51;LR-UMP;4;Oui;Oui;Oui;10.55;43.6876489503;8;10674;13.27;23.51;-0.0728442860272;9025.741944851425;9026
Yann LIBRATI_6_1;Yann LIBRATI;6;1;M;LIBRATI;Yann;43;PS;2;Non;Non;Oui;10.55;43.6876489503;8;3065;3.81;6.75;0.00909119952366;3131.2378870752373;3131
Robert INJEY_6_1;Robert INJEY;6;1;M;INJEY;Robert;54;FG-FI;3;Non;Non;Non;10.55;43.6876489503;8;7543;9.37;16.61;-0.040753672902;6867.3698083729605;6867
Jérôme COCHET_6_2;Jérôme COCHET;6;2;M;COCHET;Jérôme;24;FN;5;Non;Non;Non;10.55;43.6876489503;8;14122;16.48;35.23;-0.0961580370896;11317.178610108997;11317
