Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp,qualifie
67_7;85519;46.61;FN;Virginie JORON;6278;7.34;15.75;non
67_7;85519;46.61;REG;Jean-Marie LORBER;3408;3.99;8.55;non
67_7;85519;46.61;FI;Peter ANDERSEN;2235;2.61;5.61;non
67_7;85519;46.61;ECO;Sandrine LOMBARD;1740;2.03;4.37;non
67_7;85519;46.61;DLF;Pascale ELLES;473;0.55;1.19;non
67_7;85519;46.61;COM;Bénédicte HERRGOTT;436;0.51;1.09;non
67_7;85519;46.61;ECO;Natacha RUIZ;397;0.46;1.0;non
67_7;85519;46.61;DIV;Aurélien HARY;255;0.3;0.64;non
67_7;85519;46.61;DIV;Olivier MULLER-HAENEL;233;0.27;0.58;non
67_7;85519;46.61;EXG;Jeanne-Françoise LANGLADE;202;0.24;0.51;non
67_7;85519;46.61;DIV;Mikaïl KAYA;99;0.12;0.25;non
67_8;94590;45.34;REM;Christian GLIECH;14143;14.95;32.98;oui
67_8;94590;45.34;LR;Frédéric REISS;12954;13.69;30.2;oui
67_8;94590;45.34;FN;Gérard JANUS;7363;7.78;17.17;non
67_8;94590;45.34;REG;Gaby HARTMANN;3320;3.51;7.74;non
67_8;94590;45.34;FI;Manuel MENETRIER;2039;2.16;4.75;non
67_8;94590;45.34;DLF;Pierre-Henri EISENSCHMIDT;996;1.05;2.32;non
67_8;94590;45.34;ECO;Perrine TORRENT;764;0.81;1.78;non
67_8;94590;45.34;SOC;Ambroise PERRIN;520;0.55;1.21;non
67_8;94590;45.34;DIV;Daniel FISCHER;228;0.24;0.53;non
67_8;94590;45.34;ECO;Gisèle SCHNEIDER;214;0.23;0.5;non
67_8;94590;45.34;COM;Pascal PREVOST-BOURE;179;0.19;0.42;non
67_8;94590;45.34;EXG;Mehdi BENHLAL;167;0.18;0.39;non
67_5;103986;43.08;LR;Antoine HERTH;16842;16.2;37.59;oui
67_5;103986;43.08;REG;Gérard SIMLER;7547;7.26;16.85;oui
67_5;103986;43.08;FN;Eliane KLEIN;7126;6.85;15.91;non
67_5;103986;43.08;ECO;Caroline REYS;4059;3.9;9.06;non
67_5;103986;43.08;FI;Janig TERRIER;3739;3.6;8.35;non
67_5;103986;43.08;ECO;Christian DANTZ;1482;1.43;3.31;non
67_5;103986;43.08;ECO;Daniel WEBER;990;0.95;2.21;non
67_5;103986;43.08;DLF;Christine BECCARI;975;0.94;2.18;non
67_5;103986;43.08;COM;Christine ROMANUS;414;0.4;0.92;non
67_5;103986;43.08;EXG;Patrick DUTTER;414;0.4;0.92;non
67_5;103986;43.08;DIV;Candice VETROFF;371;0.36;0.83;non
67_5;103986;43.08;EXD;Eric GAUTIER;308;0.3;0.69;non
67_5;103986;43.08;DIV;Eric LAPP-LAUTH;283;0.27;0.63;non
67_5;103986;43.08;DIV;Feridun ULUSOY;252;0.24;0.56;non
67_6;96039;48.38;LR;Laurent FURST;16824;17.52;36.21;oui
67_6;96039;48.38;MDM;Guy SALOMON;13695;14.26;29.48;oui
67_6;96039;48.38;FN;Hombeline DU PARC;6410;6.67;13.8;non
67_6;96039;48.38;FI;Denis GADOT;2669;2.78;5.74;non
67_6;96039;48.38;REG;Jeanine PLAISANT-HERMANNS;2395;2.49;5.16;non
67_6;96039;48.38;ECO;Alexandre GONÇALVES;1860;1.94;4.0;non
67_6;96039;48.38;SOC;Martin EFFENBERGER;644;0.67;1.39;non
67_6;96039;48.38;DLF;Sara CHABAANE;561;0.58;1.21;non
67_6;96039;48.38;DIV;Régis MEYER;408;0.42;0.88;non
67_6;96039;48.38;DIV;Gilles PFAFFENHOF;277;0.29;0.6;non
67_6;96039;48.38;DIV;Evelyne MONTELEONE;233;0.24;0.5;non
67_6;96039;48.38;EXG;Roxane FERREZ;202;0.21;0.43;non
67_6;96039;48.38;COM;Odile AGRAFEIL;167;0.17;0.36;non
67_6;96039;48.38;DIV;Olivier LAUSTRIAT;114;0.12;0.25;non
68_1;76086;46.77;LR;Eric STRAUMANN;13444;17.67;37.78;oui
68_1;76086;46.77;REM;Stéphanie VILLEMIN;9339;12.27;26.24;oui
68_1;76086;46.77;FN;Marie-Hélène DE LACOSTE LAREYMONDIE;4063;5.34;11.42;non
68_1;76086;46.77;FI;Didier OTTERMANN;1901;2.5;5.34;non
68_1;76086;46.77;ECO;Frédéric HILBERT;1642;2.16;4.61;non
68_1;76086;46.77;REG;Nadia HOOG;1096;1.44;3.08;non
68_1;76086;46.77;DVD;Philippe ROGALA;1015;1.33;2.85;non
68_1;76086;46.77;DIV;Fabien BADARIOTTI;590;0.78;1.66;non
68_1;76086;46.77;DIV;Christophe KLEITZ;501;0.66;1.41;non
68_1;76086;46.77;RDG;Marie-Agnès STRAZEL;446;0.59;1.25;non
68_1;76086;46.77;DIV;Erol YUCEL;413;0.54;1.16;non
68_1;76086;46.77;DLF;Sabrina BLONDÉ;406;0.53;1.14;non
68_1;76086;46.77;DIV;Lydia BEROFF;173;0.23;0.49;non
68_1;76086;46.77;DIV;Joël JEROME;168;0.22;0.47;non
68_1;76086;46.77;EXG;Gilles SCHAFFAR;146;0.19;0.41;non
68_1;76086;46.77;COM;Régine MARIAGE;114;0.15;0.32;non
68_1;76086;46.77;DVG;Paul MARTIN;70;0.09;0.2;non
68_1;76086;46.77;DIV;Christophe ELCHINGER;57;0.07;0.16;non
68_4;102687;43.77;REM;Aurélie TACQUARD;14741;14.36;32.79;oui
68_4;102687;43.77;LR;Raphaël SCHELLENBERGER;7756;7.55;17.25;oui
68_4;102687;43.77;FN;Alain FAVALETTO;7495;7.3;16.67;non
68_4;102687;43.77;REG;David DUSS;3818;3.72;8.49;non
68_4;102687;43.77;FI;Gabriel WEISSER;3806;3.71;8.47;non
68_4;102687;43.77;UDI;Cyrille AST;2202;2.14;4.9;non
68_4;102687;43.77;ECO;Michel KNOERR;1735;1.69;3.86;non
68_4;102687;43.77;DIV;Alain BUCHER;973;0.95;2.16;non
68_4;102687;43.77;ECO;David FLORANGE;713;0.69;1.59;non
68_4;102687;43.77;EXD;José SANJUAN;495;0.48;1.1;non
68_4;102687;43.77;COM;Nadia PETER-LANTZ;411;0.4;0.91;non
68_4;102687;43.77;DIV;Christophe ALVAREZ;310;0.3;0.69;non
68_4;102687;43.77;EXG;Aimé SENSE;299;0.29;0.67;non
68_4;102687;43.77;DIV;Mustafa SARICA;180;0.18;0.4;non
68_4;102687;43.77;DVG;Claude HOLLER;17;0.02;0.04;non
68_2;92268;47.76;REM;Hubert OTT;15826;17.15;35.92;oui
68_2;92268;47.76;LR;Jacques CATTIN;10679;11.57;24.23;oui
68_2;92268;47.76;FN;Grégory STICH;5586;6.05;12.68;non
68_2;92268;47.76;REG;Daniel LOEWERT;3278;3.55;7.44;non
68_2;92268;47.76;FI;Christelle MILLET;3156;3.42;7.16;non
68_2;92268;47.76;ECO;Laurent DREYFUS;2523;2.73;5.73;non
68_2;92268;47.76;DVD;Marie-Paule GAY;630;0.68;1.43;non
68_2;92268;47.76;DLF;Denise FAVREL;579;0.63;1.31;non
68_2;92268;47.76;DVD;Hervé FRANTZ;444;0.48;1.01;non
68_2;92268;47.76;DIV;Nicolas PETITDEMANGE;405;0.44;0.92;non
68_2;92268;47.76;DIV;Françoise LANGARD;268;0.29;0.61;non
68_2;92268;47.76;DIV;Mehmet TURKES;238;0.26;0.54;non
68_2;92268;47.76;EXG;Philippe SOUCIER;233;0.25;0.53;non
68_2;92268;47.76;COM;Jérôme FUKAS;220;0.24;0.5;non
68_2;92268;47.76;ECO;Dylan MOERMAN;0;0.0;0.0;non
68_3;85719;45.5;REM;Patrick STRIBY;12419;14.49;31.84;oui
68_3;85719;45.5;LR;Jean-Luc REITZER;11630;13.57;29.82;oui
68_3;85719;45.5;FN;Katia DI LEONARDO;3960;4.62;10.15;non
68_3;85719;45.5;REG;Hervé OTT;3387;3.95;8.68;non
68_3;85719;45.5;FI;Marianne BERÇOT;2195;2.56;5.63;non
68_3;85719;45.5;ECO;Antoine WAECHTER;1936;2.26;4.96;non
68_3;85719;45.5;DLF;Jean-Michel MONTEILLET;1052;1.23;2.7;non
68_3;85719;45.5;REG;Catherine DAHMANE;1046;1.22;2.68;non
68_3;85719;45.5;DVD;Alain TAVAN;456;0.53;1.17;non
68_3;85719;45.5;DVD;Denis ALBISSER;404;0.47;1.04;non
68_3;85719;45.5;DIV;Brigitte RICHART;276;0.32;0.71;non
68_3;85719;45.5;EXG;Géraud FERRY;238;0.28;0.61;non
67_9;92695;44.21;REM;Vincent THIEBAUT;14745;15.91;35.98;oui
67_9;92695;44.21;LR;Etienne WOLF;9527;10.28;23.25;oui
67_9;92695;44.21;FN;Laurent GNAEDIG;5679;6.13;13.86;non
67_9;92695;44.21;REG;Jean-Luc LEBER;3030;3.27;7.39;non
67_9;92695;44.21;FI;Leilla WITZMANN;2435;2.63;5.94;non
67_9;92695;44.21;UDI;Vanessa WAGNER;1765;1.9;4.31;non
67_9;92695;44.21;ECO;Françoise WERCKMANN;1099;1.19;2.68;non
67_9;92695;44.21;DLF;Guillaume BOSSHARDT;708;0.76;1.73;non
67_9;92695;44.21;SOC;Hamid FILALI;556;0.6;1.36;non
67_9;92695;44.21;EXD;Emmanuelle LANG;361;0.39;0.88;non
67_9;92695;44.21;COM;Jean-Marc CLAUS;226;0.24;0.55;non
67_9;92695;44.21;DIV;Tezcan CAN;209;0.23;0.51;non
67_9;92695;44.21;DIV;Emmanuel GOEPP;196;0.21;0.48;non
67_9;92695;44.21;EXG;Annelyse JACQUEL;167;0.18;0.41;non
67_9;92695;44.21;DIV;David POILEVEY;158;0.17;0.39;non
67_9;92695;44.21;EXG;Jean-Michel DELAYE;118;0.13;0.29;non
68_6;92407;41.87;REM;Bruno FUCHS;12519;13.55;32.36;oui
68_6;92407;41.87;FN;Sylvain MARCELLI;6696;7.25;17.31;oui
68_6;92407;41.87;UDI;Francis HILLMEYER;6412;6.94;16.57;non
68_6;92407;41.87;FI;Philippe DUFFAU;3432;3.71;8.87;non
68_6;92407;41.87;DVD;Lara MILLION;3244;3.51;8.39;non
68_6;92407;41.87;REG;Laurent ROTH;2203;2.38;5.69;non
68_6;92407;41.87;SOC;Pierre PARRA;980;1.06;2.53;non
68_6;92407;41.87;ECO;Ralph WICKY;717;0.78;1.85;non
68_6;92407;41.87;DLF;Caroline WIDLOECHER-REYMANN;619;0.67;1.6;non
68_6;92407;41.87;ECO;Martine LAPOUBLE-BARTHOU;507;0.55;1.31;non
68_6;92407;41.87;EXG;Nathalie MULOT;269;0.29;0.7;non
68_6;92407;41.87;DIV;Mehmet Han SIMSEK;251;0.27;0.65;non
68_6;92407;41.87;COM;Christophe POUYSEGUR;238;0.26;0.62;non
68_6;92407;41.87;DIV;David BIZET;234;0.25;0.6;non
68_6;92407;41.87;DIV;Fausta DE MAESTRI;189;0.2;0.49;non
68_6;92407;41.87;EXD;Mildred FREY;178;0.19;0.46;non
69_2;74985;55.15;REM;Hubert JULIEN-LAFERRIERE;16177;21.57;39.12;oui
69_2;74985;55.15;DVG;Nathalie PERRIN-GILBERT;7461;9.95;18.04;oui
69_2;74985;55.15;FI;Eleni FERLET;4739;6.32;11.46;non
69_2;74985;55.15;LR;Laurence BALAS;3512;4.68;8.49;non
69_2;74985;55.15;UDI;Denis BROLIQUIER;3475;4.63;8.4;non
69_2;74985;55.15;ECO;Rémi ZINCK;1856;2.48;4.49;non
69_2;74985;55.15;FN;David TABELLION;1760;2.35;4.26;non
69_2;74985;55.15;DVD;Michel MOUCHBAHANI;435;0.58;1.05;non
69_2;74985;55.15;ECO;Evelyne DIJOUX;361;0.48;0.87;non
69_2;74985;55.15;DLF;Aurore MONTAUBAN;309;0.41;0.75;non
69_2;74985;55.15;DIV;Valentin BERNARD;307;0.41;0.74;non
69_2;74985;55.15;ECO;Roxane HIRTZBERGER;281;0.37;0.68;non
69_2;74985;55.15;DIV;Anne MOREL;228;0.3;0.55;non
69_2;74985;55.15;EXG;Arlette COUZON;185;0.25;0.45;non
69_2;74985;55.15;EXD;Alain GUILLON;138;0.18;0.33;non
69_2;74985;55.15;DIV;Xavier BROUTIN;103;0.14;0.25;non
69_2;74985;55.15;DVG;Felina MARTINEZ RODRIGUEZ;24;0.03;0.06;non
69_2;74985;55.15;DIV;Robin JAMON;2;0.0;0.0;non
69_2;74985;55.15;DIV;Kamel KROUBI;0;0.0;0.0;non
69_1;69502;50.49;REM;Thomas RUDIGOZ;16449;23.67;46.88;oui
69_1;69502;50.49;FI;Elliott AUBIN;4825;6.94;13.75;oui
69_1;69502;50.49;LR;Anne LORNE;4374;6.29;12.47;non
69_1;69502;50.49;ECO;Bertrand ARTIGNY;2911;4.19;8.3;non
69_1;69502;50.49;FN;Tiffany JONCOUR;2602;3.74;7.42;non
69_1;69502;50.49;COM;Julien GIRAUDO;1000;1.44;2.85;non
69_1;69502;50.49;DIV;Caroline BOICHÉ;447;0.64;1.27;non
69_1;69502;50.49;DIV;Mathis DUPUY;409;0.59;1.17;non
69_1;69502;50.49;DLF;Maguy GIRERD;375;0.54;1.07;non
69_1;69502;50.49;DVD;Raphaël NOGIER;330;0.47;0.94;non
69_1;69502;50.49;DIV;Florence MAURY;247;0.36;0.7;non
69_1;69502;50.49;DIV;Jean-François COCHE;218;0.31;0.62;non
69_1;69502;50.49;UDI;Isabelle VIGNON;217;0.31;0.62;non
69_1;69502;50.49;EXG;Marie-Christine PERNIN;212;0.31;0.6;non
69_1;69502;50.49;DIV;Benjamin OURCET;176;0.25;0.5;non
69_1;69502;50.49;EXD;Yannick DUCROT;165;0.24;0.47;non
69_1;69502;50.49;DVG;Arthur TOKATLIAN;85;0.12;0.24;non
69_1;69502;50.49;ECO;Ismaël BERNARD;31;0.04;0.09;non
69_1;69502;50.49;DVD;Brigitte CAMUS;17;0.02;0.05;non
69_6;82455;46.12;REM;Bruno BONNELL;13953;16.92;36.69;oui
69_6;82455;46.12;SOC;Najat VALLAUD-BELKACEM;6288;7.63;16.54;oui
69_6;82455;46.12;FI;Laurent LEGENDRE;5595;6.79;14.71;non
69_6;82455;46.12;LR;Emmanuelle HAZIZA;4058;4.92;10.67;non
69_6;82455;46.12;FN;Stéphane PONCET;3435;4.17;9.03;non
69_6;82455;46.12;ECO;Béatrice VESSILLER;1806;2.19;4.75;non
69_6;82455;46.12;COM;Mathieu SOARES;522;0.63;1.37;non
69_6;82455;46.12;DIV;Christophe INIESTA;486;0.59;1.28;non
69_6;82455;46.12;DLF;André DUBOIS;432;0.52;1.14;non
69_6;82455;46.12;DVD;Hervé MOREL;395;0.48;1.04;non
69_6;82455;46.12;EXG;Claire LAINEZ;217;0.26;0.57;non
69_6;82455;46.12;DVD;Mathieu GOUTTEFANGEAS;203;0.25;0.53;non
69_6;82455;46.12;DIV;Christian DADAT;182;0.22;0.48;non
69_6;82455;46.12;EXG;Camille CHAUCHAT;181;0.22;0.48;non
69_6;82455;46.12;DVG;François DE VERGNETTE;91;0.11;0.24;non
69_6;82455;46.12;EXG;Grégoire PRIVOLT;66;0.08;0.17;non
69_6;82455;46.12;DIV;Zair MEZIANI;51;0.06;0.13;non
69_6;82455;46.12;DVG;Abdel-Hakim BATACHE;48;0.06;0.13;non
69_6;82455;46.12;DIV;Paul RYCKAERT;16;0.02;0.04;non
69_3;72020;52.73;REM;Jean-Louis TOURAINE;16271;22.59;42.84;oui
69_3;72020;52.73;FI;Pascal LE BRUN;6030;8.37;15.88;oui
69_3;72020;52.73;LR;Nora BERRA;4987;6.92;13.13;non
69_3;72020;52.73;ECO;Fanny DUBOT;4204;5.84;11.07;non
69_3;72020;52.73;FN;Michel DULAC;2334;3.24;6.15;non
69_3;72020;52.73;COM;Fanny LUCIUS;794;1.1;2.09;non
69_3;72020;52.73;UDI;Christophe GEOURJON;735;1.02;1.94;non
69_3;72020;52.73;DIV;Olivier MAYER;580;0.81;1.53;non
69_3;72020;52.73;DIV;Nathalie DEHAN;480;0.67;1.26;non
69_3;72020;52.73;DLF;Corinne FERRETTI;426;0.59;1.12;non
69_3;72020;52.73;DIV;Eric LAFOND;351;0.49;0.92;non
69_3;72020;52.73;DVD;Gaëlle NAVARRANNE;279;0.39;0.73;non
69_3;72020;52.73;DIV;Vincent OLLION;250;0.35;0.66;non
69_3;72020;52.73;EXG;Nadia BOUHAMI;218;0.3;0.57;non
69_3;72020;52.73;DIV;Marc CHINAL;40;0.06;0.11;non
69_3;72020;52.73;REG;Lérie NICOLAÏ;0;0.0;0.0;non
68_5;77491;43.26;REM;Cécile LEHR;11043;14.25;32.94;oui
68_5;77491;43.26;DVD;Olivier BECHT;10211;13.18;30.46;oui
68_5;77491;43.26;FN;Christelle RITZ;4097;5.29;12.22;non
68_5;77491;43.26;FI;Geneviève ENGGASSER;2469;3.19;7.37;non
68_5;77491;43.26;REG;Ghislaine ROUGE DIT GAILLARD;1188;1.53;3.54;non
68_5;77491;43.26;ECO;Florence PETER;1106;1.43;3.3;non
68_5;77491;43.26;SOC;Abdellatif TIMDOUINE;838;1.08;2.5;non
68_5;77491;43.26;DLF;Pascal TSCHAEN;601;0.78;1.79;non
68_5;77491;43.26;DIV;Laure GISIE;458;0.59;1.37;non
68_5;77491;43.26;ECO;Jean BITTERLIN;415;0.54;1.24;non
68_5;77491;43.26;DIV;Guillaume REFFAY;238;0.31;0.71;non
68_5;77491;43.26;DIV;Kadir GUZLE;227;0.29;0.68;non
68_5;77491;43.26;EXG;Julien WOSTYN;213;0.27;0.64;non
68_5;77491;43.26;DIV;Alex SAINT-PHOR;212;0.27;0.63;non
68_5;77491;43.26;COM;Bertrand GROSZ;207;0.27;0.62;non
69_7;68017;39.67;REM;Anissa KHEDHER;8656;12.73;32.08;oui
69_7;68017;39.67;LR;Alexandre VINCENDET;5884;8.65;21.81;oui
69_7;68017;39.67;FI;Andréa KOTARAC;3600;5.29;13.34;non
69_7;68017;39.67;FN;Jean-Marie NICOLAS;3079;4.53;11.41;non
69_7;68017;39.67;SOC;Renaud GAUQUELIN;2680;3.94;9.93;non
69_7;68017;39.67;ECO;Pierre TCHETCHE;908;1.33;3.37;non
69_7;68017;39.67;COM;Paul BOGHOSSIAN;695;1.02;2.58;non
69_7;68017;39.67;DIV;Noëlle PELERINS;329;0.48;1.22;non
69_7;68017;39.67;DLF;Daniel ALBOUT;303;0.45;1.12;non
69_7;68017;39.67;DIV;Agnès HAASSER;258;0.38;0.96;non
69_7;68017;39.67;EXG;Thomas SPREUX;211;0.31;0.78;non
69_7;68017;39.67;DIV;Florence PERRIER;157;0.23;0.58;non
69_7;68017;39.67;DIV;Ferdi YILMAZ;157;0.23;0.58;non
69_7;68017;39.67;DVD;Daouda OUATTARA;64;0.09;0.24;non
69_7;68017;39.67;DVD;Constance BERGE;0;0.0;0.0;non
69_8;102553;50.09;REM;Joëlle TERROIR;19021;18.55;37.03;oui
69_8;102553;50.09;LR;Patrice VERCHÈRE;16492;16.08;32.1;oui
69_8;102553;50.09;FI;Fabien DE MARCHI;4976;4.85;9.69;non
69_8;102553;50.09;FN;Pierre TERRAIL;4829;4.71;9.4;non
69_8;102553;50.09;ECO;Bénédicte HOMINAL;2093;2.04;4.07;non
69_8;102553;50.09;DLF;Guy CAPPEAU;777;0.76;1.51;non
69_8;102553;50.09;ECO;Jean Luc PASSARO;682;0.67;1.33;non
69_8;102553;50.09;DVD;Pierre TIXIER;525;0.51;1.02;non
69_8;102553;50.09;COM;Gisèle BISSAY;522;0.51;1.02;non
69_8;102553;50.09;EXD;Serge VOYANT;394;0.38;0.77;non
69_8;102553;50.09;EXG;Tristan TEYSSIER;355;0.35;0.69;non
69_8;102553;50.09;DIV;Bernard HOUOT;298;0.29;0.58;non
69_8;102553;50.09;DIV;Sarah MADI;255;0.25;0.5;non
69_8;102553;50.09;DIV;Michel BOTTON;119;0.12;0.23;non
69_8;102553;50.09;DVD;Julien LEBRETON;31;0.03;0.06;non
69_4;80169;54.21;REM;Anne BRUGNERA;19902;24.83;45.79;oui
69_4;80169;54.21;LR;Dominique NACHURY;9565;11.93;22.01;oui
69_4;80169;54.21;FI;Anne FONTENILLE;4693;5.85;10.8;non
69_4;80169;54.21;ECO;Véronique DUBOIS BERTRAND;3215;4.01;7.4;non
69_4;80169;54.21;FN;Edith GODECKE;2415;3.01;5.56;non
69_4;80169;54.21;COM;Cécile CHARLES;671;0.84;1.54;non
69_4;80169;54.21;DIV;Julie BERNAZEAU;603;0.75;1.39;non
69_4;80169;54.21;DIV;Nicolas ROMANTZOFF;522;0.65;1.2;non
69_4;80169;54.21;DVD;Catherine APPRIOU;490;0.61;1.13;non
69_4;80169;54.21;DVD;Anne JOLLIOT;450;0.56;1.04;non
69_4;80169;54.21;DLF;Isabelle FOUCAULT;429;0.54;0.99;non
69_4;80169;54.21;DIV;Luc BERTHAUD;289;0.36;0.66;non
69_4;80169;54.21;EXG;Jean-Noël DUDUKDJIAN;219;0.27;0.5;non
69_9;91690;48.63;REM;Marion CROIZEAU;16059;17.51;36.02;oui
69_9;91690;48.63;LR;Bernard PERRUT;12978;14.15;29.11;oui
69_9;91690;48.63;FN;Christophe BOUDOT;6952;7.58;15.59;non
69_9;91690;48.63;FI;Teresa CACI;3517;3.84;7.89;non
69_9;91690;48.63;ECO;Brigitte EALET;1313;1.43;2.94;non
69_9;91690;48.63;RDG;Katia BUISSON;1174;1.28;2.63;non
69_9;91690;48.63;COM;Etienne ALLOMBERT;589;0.64;1.32;non
69_9;91690;48.63;DLF;Jean-Michel DHIMOÏLA;518;0.56;1.16;non
69_9;91690;48.63;ECO;Elisabeth MICHAUDON;508;0.55;1.14;non
69_9;91690;48.63;DVD;Eric RADIX;311;0.34;0.7;non
69_9;91690;48.63;EXG;Chantal HELLY;237;0.26;0.53;non
69_9;91690;48.63;DIV;Jamilla FARAH;232;0.25;0.52;non
69_9;91690;48.63;DIV;Yona Claire DUREAU;198;0.22;0.44;non
69_5;88086;51.78;REM;Blandine BROCARD;20890;23.72;45.8;oui
69_5;88086;51.78;LR;Philippe COCHET;12007;13.63;26.33;oui
69_5;88086;51.78;FI;Céline BERNARDI;3552;4.03;7.79;non
69_5;88086;51.78;FN;Cécile BÈNE;3544;4.02;7.77;non
69_5;88086;51.78;ECO;Jérôme TROTIGNON;2769;3.14;6.07;non
69_5;88086;51.78;COM;Véronique CHIAVAZZA;743;0.84;1.63;non
69_5;88086;51.78;DLF;Ludivine CAPPEAU;520;0.59;1.14;non
69_5;88086;51.78;DIV;Charlotte BROCA;492;0.56;1.08;non
69_5;88086;51.78;DIV;Séverine HEMAIN;442;0.5;0.97;non
69_5;88086;51.78;DVD;Jean-Paul CHAUDY;254;0.29;0.56;non
69_5;88086;51.78;DIV;Gaylord DESANGLES;205;0.23;0.45;non
69_5;88086;51.78;EXG;Christian PRADA;185;0.21;0.41;non
69_5;88086;51.78;DIV;Quentin JOUAN;6;0.01;0.01;non
69_10;95274;52.25;REM;Thomas GASSILLOUD;23230;24.38;46.66;oui
69_10;95274;52.25;LR;Sophie CRUZ;9658;10.14;19.4;oui
69_10;95274;52.25;FN;Agnès MARION;5865;6.16;11.78;non
69_10;95274;52.25;FI;Olivier DAUDÉ;4763;5.0;9.57;non
69_10;95274;52.25;ECO;Victor FORNITO;3020;3.17;6.07;non
69_10;95274;52.25;ECO;Nadia SI AHMED;730;0.77;1.47;non
69_10;95274;52.25;DLF;Gerbert RAMBAUD;725;0.76;1.46;non
69_10;95274;52.25;DVD;Alain FUMEY;489;0.51;0.98;non
69_10;95274;52.25;COM;Frédérique GALLIEN;466;0.49;0.94;non
69_10;95274;52.25;DIV;Marion GINEYS;321;0.34;0.64;non
69_10;95274;52.25;EXD;Maurice CLEMENCON;289;0.3;0.58;non
69_10;95274;52.25;EXG;Gilles BOMPARD;229;0.24;0.46;non
69_11;92522;48.04;REM;Jean-Luc FUGIT;17422;18.83;39.2;oui
69_11;92522;48.04;LR;Georges FENECH;9182;9.92;20.66;oui
69_11;92522;48.04;FN;Antoine MELLIES;6511;7.04;14.65;non
69_11;92522;48.04;FI;Christine VALENTIN;4771;5.16;10.73;non
69_11;92522;48.04;ECO;Jérôme BUB;1707;1.84;3.84;non
69_11;92522;48.04;SOC;Jules JOASSARD;1470;1.59;3.31;non
69_11;92522;48.04;COM;Raymond COMBAZ;1240;1.34;2.79;non
69_11;92522;48.04;DLF;Philippe BADOIL;701;0.76;1.58;non
69_11;92522;48.04;ECO;Laurent NEGRO;326;0.35;0.73;non
69_11;92522;48.04;DVD;Jean-Matthieu DELACOURT;292;0.32;0.66;non
69_11;92522;48.04;EXG;Olivier MINOUX;253;0.27;0.57;non
69_11;92522;48.04;EXD;Jacky COPEDE;246;0.27;0.55;non
69_11;92522;48.04;DIV;Gaëlle BOUVIER;222;0.24;0.5;non
69_11;92522;48.04;DIV;Yusuf DAGLI;64;0.07;0.14;non
69_11;92522;48.04;DVG;David AMSELLEM;34;0.04;0.08;non
69_11;92522;48.04;DVD;Dauphine URVOY;4;0.0;0.01;non
69_11;92522;48.04;DIV;Yvan BACHAUD;2;0.0;0.0;non
69_14;74276;35.39;REM;Yves BLEIN;9463;12.74;36.0;oui
69_14;74276;35.39;FN;Damien MONCHAU;4629;6.23;17.61;oui
69_14;74276;35.39;FI;Benjamin NIVARD;3835;5.16;14.59;non
69_14;74276;35.39;COM;Michèle PICARD;2746;3.7;10.45;non
69_14;74276;35.39;UDI;Maurice IACOVELLA;1852;2.49;7.05;non
69_14;74276;35.39;SOC;Adrien DRIOLI;1109;1.49;4.22;non
69_14;74276;35.39;ECO;Véronique GIROMAGNY;852;1.15;3.24;non
69_14;74276;35.39;DLF;Franck MULLER;570;0.77;2.17;non
69_14;74276;35.39;EXG;Marie-Christine SEEMANN;347;0.47;1.32;non
69_14;74276;35.39;EXD;Thierry DUSSUD;275;0.37;1.05;non
69_14;74276;35.39;DIV;Yalcin AYVALI;255;0.34;0.97;non
69_14;74276;35.39;DIV;Yassine EL HASSAK;198;0.27;0.75;non
69_14;74276;35.39;DVG;Valérie BRIDON;80;0.11;0.3;non
69_14;74276;35.39;DIV;Yanis MARCOUX;44;0.06;0.17;non
69_14;74276;35.39;DVG;Saida ESTIVAL;32;0.04;0.12;non
69_14;74276;35.39;DVD;Béatrice DECREPT;1;0.0;0.0;non
69_14;74276;35.39;DVG;Lotfi BEN KHELIFA;0;0.0;0.0;non
69_12;79783;52.05;MDM;Cyrille ISAAC-SIBILLE;17410;21.82;41.92;oui
69_12;79783;52.05;LR;Jérôme MOROGE;9325;11.69;22.45;oui
69_12;79783;52.05;FI;Eloi NAVARRO;4114;5.16;9.91;non
69_12;79783;52.05;FN;Muriel COATIVY;3671;4.6;8.84;non
69_12;79783;52.05;ECO;Hélène DROMAIN;2398;3.01;5.77;non
69_12;79783;52.05;SOC;David CHIZAT;1996;2.5;4.81;non
69_12;79783;52.05;COM;Bertrand MANTELET;738;0.93;1.78;non
69_12;79783;52.05;DVD;Olivier PIRRA;571;0.72;1.37;non
69_12;79783;52.05;DLF;Fabrice SANZ;473;0.59;1.14;non
69_12;79783;52.05;DIV;François SIMON;297;0.37;0.72;non
69_12;79783;52.05;DVD;Gilles BARATIN;238;0.3;0.57;non
69_12;79783;52.05;EXG;Cécile FAURITE;202;0.25;0.49;non
69_12;79783;52.05;DIV;Habip DAGLI;95;0.12;0.23;non
70_2;90736;50.6;REM;Christophe LEJEUNE;14848;16.36;32.34;oui
70_2;90736;50.6;FN;Maurice MONNIER;9174;10.11;19.98;oui
70_2;90736;50.6;LR;Isabelle GEHIN;7051;7.77;15.36;non
70_2;90736;50.6;FI;Isabelle HAISMANN-FEBVAY;5454;6.01;11.88;non
70_2;90736;50.6;DIV;Claude MARCONOT;3367;3.71;7.33;non
