Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp;qualifie
62_8;93014;40.58;FN;Karine HAVERLANT;16310;17.53;43.22;non
62_9;79078;40.47;MDM;Marguerite DEPREZ-AUDEBERT;18451;23.33;57.66;elu
62_9;79078;40.47;FN;Jacques DELAIRE;13548;17.13;42.34;non
62_11;94924;40.93;FN;Marine LE PEN;22769;23.99;58.6;elu
62_11;94924;40.93;REM;Anne ROQUET;16084;16.94;41.4;non
62_12;95124;38.28;FN;Bruno BILDE;20057;21.09;55.08;elu
62_12;95124;38.28;REM;Coralie REMBERT;16360;17.2;44.92;non
63_1;83501;37.9;REM;Valérie THOMAS;18042;21.61;57.01;elu
63_1;83501;37.9;FI;Alain LAFFONT;13603;16.29;42.99;non
63_3;89003;40.78;MDM;Laurence VICHNIEVSKY;20333;22.85;56.02;elu
63_3;89003;40.78;UDI;Louis GISCARD D'ESTAING;15966;17.94;43.98;non
63_4;98645;35.23;MDM;Michel FANGET;19265;19.53;55.44;elu
63_4;98645;35.23;LR;Bertrand BARRAUD;15483;15.7;44.56;non
62_10;90271;37.62;FN;Ludovic PAJOT;17854;19.78;52.58;elu
62_10;90271;37.62;REM;Laurence DESCHANEL;16105;17.84;47.42;non
63_5;102047;47.21;COM;André CHASSAIGNE;30620;30.01;63.55;elu
63_5;102047;47.21;REM;Sébastien GARDETTE;17561;17.21;36.45;non
64_1;68809;35.77;MDM;Josy POUEYTO;15438;22.44;62.72;elu
64_1;68809;35.77;LR;Pauline ROY;9178;13.34;37.28;non
63_2;87873;44.9;SOC;Christine PIRÈS BEAUNE;24936;28.38;63.21;elu
63_2;87873;44.9;REM;Mohand HAMOUMOU;14515;16.52;36.79;non
64_2;80072;42.19;MDM;Jean-Paul MATTEI;20584;25.71;60.93;elu
64_2;80072;42.19;SOC;Nathalie CHABANNE;13198;16.48;39.07;non
64_3;82747;47.68;SOC;David HABIB;21286;25.72;53.96;elu
64_3;82747;47.68;REM;Michel BERNOS;18164;21.95;46.04;non
64_4;80161;46.76;DVD;Jean LASSALLE;19787;24.68;52.79;elu
