code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_m1_reel;prediction;voixT2_modele2
81;81;Tarn;2;Doriane ALBARAO_81_2;2ème circonscription;F;ALBARAO;Doriane;21;FN;8;Non;Non;Oui;10.6;43.9457210083;6;13124;12.38;20.67;-0.124624776526;9850.1182723;9850;9418;0.883432271991;0.883432271991;améliore;oui;;;60621;0.040893260993;11324;0.0276349741363;12120
81;81;Tarn;3;Jean TERLIER_81_3;3ème circonscription;M;TERLIER;Jean;40;EM-MODEM;3;Non;Non;Non;10.6;43.9457210083;6;15178;14.97;24.89;0.0405305446871;16823.6657302;16824;17931;0.59789320741;0.59789320741;améliore;oui;;;41745;0.0440392981251;22238;0.0590098897019;26026
81;81;Tarn;3;Bernard CARAYON_81_3;3ème circonscription;M;CARAYON;Bernard;59;LR-UMP;3;Non;Non;Oui;10.6;43.9457210083;6;12503;12.33;20.5;-0.101640474229;9894.04216736;9894;12988;-5.3793814433;-1.042;degrade;oui;;;15078;0.0310684164536;16330;0.0141377846492;16889
82;82;Tarn-et-Garonne;1;Valérie RABAULT_82_1;1ère circonscription;F;RABAULT;Valérie;44;PS;3;Oui;Oui;Oui;11.45;42.2197700614;6;4311;4.79;7.95;0.0646183357213;5134.76136754;5135;8891;0.179912663755;0.179912663755;améliore;oui;;;16996;0.0266309411454;13989;0.00834108705118;14266
82;82;Tarn-et-Garonne;1;Pierre MARDEGAN_82_1;1ère circonscription;M;MARDEGAN;Pierre;59;EM-MODEM;3;Non;Non;Non;11.45;42.2197700614;6;13406;14.9;24.74;0.0425051690859;14942.3976451;14942;13801;3.88860759494;1.715;surestime;oui;;;41745;0.0440392981251;16740;0.0223634730595;17674
82;82;Tarn-et-Garonne;2;Mathieu ALBUGUES_82_2;2ème circonscription;M;ALBUGUES;Mathieu;27;LR-UMP;2;Non;Non;Non;11.45;42.2197700614;6;16260;17.41;38.04;-0.157612919596;11311.1723973;11311;8579;0.644317146205;0.644317146205;améliore;non;;;15078;0.0310684164536;11029;-0.0133141469608;10696
82;82;Tarn-et-Garonne;2;Romain LOPEZ_82_2;2ème circonscription;M;LOPEZ;Romain;28;FN;5;Non;Non;Oui;11.45;42.2197700614;6;15226;16.31;35.62;-0.100177496927;12089.4996921;12089;9857;0.584280126653;0.584280126653;améliore;oui;;;60621;0.040893260993;10220;0.0417172572996;11366
83;83;Var;1;Elisabeth CHANTRIEUX_83_1;1ère circonscription;F;CHANTRIEUX;Elisabeth;57;EM-MODEM;2;Non;Non;Non;11.1;44.3462602328;8;9635;12.88;23.29;-0.0441598146406;8703.45933173;8703;10592;-0.973876698015;-0.973876698015;degrade;oui;;;41745;0.0440392981251;10766;0.0132399986472;11110
83;83;Var;1;Geneviève LEVY_83_1;1ère circonscription;F;LEVY;Geneviève;69;LR-UMP;7;Oui;Oui;Oui;11.1;44.3462602328;8;10799;14.43;26.1;-0.0998457232202;8580.99833992;8581;8496;0.963091619627;0.963091619627;améliore;oui;;;15078;0.0310684164536;11420;0.0216710591013;12036
83;83;Var;2;Rachel ROUSSEL_83_2;2ème circonscription;F;ROUSSEL;Rachel;49;FN;8;Non;Non;Oui;11.1;44.3462602328;8;15095;16.68;29.59;-0.0691870729368;12872.0003951;12872;9350;0.386945169713;0.386945169713;améliore;oui;;;60621;0.040893260993;9922;0.0541621789206;11442
