code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_modele1_depuism2;prediction;voixT2_modele2
6;6;Alpes-Maritimes;2;Jérôme COCHET_6_2;2ème circonscription;M;COCHET;Jérôme;24;FN;5;Non;Non;Non;10.55;43.6876489503;8;14122;16.48;35.23;-0.0961580370896;11317.1786101;11317;9166;0.56598062954;0.56598062954;améliore;oui;;;60621;0.040893260993;12046;0.0304236262597;12989
6;6;Alpes-Maritimes;2;Loîc DOMBREVAL_6_2;2ème circonscription;M;DOMBREVAL;Loîc;51;EM-MODEM;2;Non;Non;Non;10.55;43.6876489503;8;12229;14.27;30.51;0.0452043355852;13735.7700916;13736;14364;0.705854800937;0.705854800937;améliore;oui;;;41745;0.0440392981251;17535;0.0412713564263;19477
6;6;Alpes-Maritimes;3;Cédric ROUSSEL_6_3;3ème circonscription;M;ROUSSEL;Cédric;44;EM-MODEM;3;Non;Non;Oui;10.55;43.6876489503;8;11854;13.3;28.91;0.0299214105636;12764.4282282;12764;12727;1.04238258877;1.04238258877;ameliore/surestime;oui;;;41745;0.0440392981251;18924;0.0341231364072;20609
6;6;Alpes-Maritimes;3;Philippe VARDON_6_3;3ème circonscription;M;VARDON;Philippe;36;FN;3;Non;Non;Non;10.55;43.6876489503;8;12784;14.35;31.18;-0.0529287359421;11317.1748566;11317;8476;0.340529247911;0.340529247911;améliore;oui;;;60621;0.040893260993;12119;0.032356886541;13135
6;6;Alpes-Maritimes;4;Xavier BECK_6_4;4ème circonscription;M;BECK;Xavier;63;LR-UMP;3;Non;Non;Oui;10.55;43.6876489503;8;11574;13.5;23.71;-0.0614396017575;10047.1729058;10047;8075;0.436410402972;0.436410402972;améliore;non;;;15078;0.0310684164536;18743;0.015280347029;19439
6;6;Alpes-Maritimes;4;Olivier BETTATI_6_4;4ème circonscription;M;BETTATI;Olivier;47;FN;2;Non;Non;Oui;10.55;43.6876489503;8;15319;17.87;31.38;-0.0596091375634;13354.304622;13354;9139;0.317961165049;0.317961165049;améliore;oui;;;60621;0.040893260993;13680;0.0457350808137;15389
6;6;Alpes-Maritimes;5;Chantal AGNELY_6_5;5ème circonscription;F;AGNELY;Chantal;60;FN;4;Non;Non;Non;10.55;43.6876489503;8;14676;16.69;28.59;-0.0597368524187;12790.0090172;12790;8948;0.329259776536;0.329259776536;améliore;oui;;;60621;0.040893260993;13214;0.0468668266307;14913
6;6;Alpes-Maritimes;5;Jacqueline DEVIER_6_5;5ème circonscription;F;DEVIER;Jacqueline;64;PS;4;Non;Non;Oui;10.55;43.6876489503;8;10273;11.68;20.01;-0.0186940215495;9840.18507071;9840;1472;0.0491989546642;0.0491989546642;améliore;non;;;16996;0.0266309411454;16599;0.0200525050446;17422
6;6;Alpes-Maritimes;6;Nathalie AUDIN_6_6;6ème circonscription;F;AUDIN;Nathalie;49;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;10612;13.59;22.39;-0.0289909674562;9926.73147006;9927;12047;-0.477351916376;-0.477351916376;degrade;oui;;;41745;0.0440392981251;11793;0.0250456345539;12537
6;6;Alpes-Maritimes;6;Yoann SALIBA_6_6;6ème circonscription;M;SALIBA;Yoann;34;FN;2;Non;Non;Non;10.55;43.6876489503;8;13027;16.68;27.48;-0.0494997258615;11623.7078876;11624;7526;0.255044537357;0.255044537357;améliore;non;;;60621;0.040893260993;11624;0.0281323046811;12458
6;6;Alpes-Maritimes;6;Laurence TRASTOUR-ISNART_6_6;6ème circonscription;F;TRASTOUR-ISNART;Laurence;45;LR-UMP;4;Non;Non;Non;10.55;43.6876489503;8;13611;17.43;28.71;-0.141500357204;9826.29225368;9826;10010;1.05109691752;1.05109691752;ameliore/surestime;oui;;;15078;0.0310684164536;9826;0.0145764030001;10173
6;6;Alpes-Maritimes;7;Lionel TIVOLI_6_7;7ème circonscription;M;TIVOLI;Lionel;29;FN;3;Non;Non;Non;10.55;43.6876489503;8;12025;12.95;22.0;-0.0689218945761;10260.3739758;10260;6718;0.332579611833;0.332579611833;améliore;non;;;60621;0.040893260993;11035;0.0246828272108;11720
6;6;Alpes-Maritimes;7;Khaled BEN ABDERRAHMANE_6_7;7ème circonscription;M;BEN ABDERRAHMANE;Khaled;48;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;15673;16.88;28.68;0.0433907052902;17513.1472087;17513;14225;-1.27071823204;-1.042;degrade;oui;;;41745;0.0440392981251;21830;0.0443383061961;24459
6;6;Alpes-Maritimes;8;Philippe BUERCH_6_8;8ème circonscription;M;BUERCH;Philippe;51;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;10569;12.89;22.06;0.0419459461121;11761.6582117;11762;11199;1.89365079365;1.715;ameliore/surestime;oui;;;41745;0.0440392981251;13495;0.0185628620767;14111
6;6;Alpes-Maritimes;8;Bernard BROCHAND_6_8;8ème circonscription;M;BROCHAND;Bernard;79;LR-UMP;7;Oui;Oui;Oui;10.55;43.6876489503;8;15108;18.42;31.54;-0.116049538663;11565.3142414;11565;10919;0.84578658391;0.84578658391;améliore;oui;;;15078;0.0310684164536;15655;0.011278638179;16078
6;6;Alpes-Maritimes;9;Nathalie PAVARD_6_9;9ème circonscription;F;PAVARD;Nathalie;48;FN;3;Non;Non;Non;10.55;43.6876489503;8;12094;15.14;25.33;-0.0796931154811;10066.461776;10066;6815;0.384163667361;0.384163667361;améliore;non;;;60621;0.040893260993;10066;0.0375101510014;11064
6;6;Alpes-Maritimes;9;Dominique FILLEBEEN_6_9;9ème circonscription;F;FILLEBEEN;Dominique;61;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;11028;13.8;23.09;-0.0335166456874;10208.9273147;10209;12869;-0.444866920152;-0.444866920152;degrade;oui;;;41745;0.0440392981251;12307;0.023916189832;13046
6;6;Alpes-Maritimes;9;Michèle TABAROT_6_9;9ème circonscription;F;TABAROT;Michèle;54;LR-UMP;2;Oui;Oui;Oui;10.55;43.6876489503;8;13669;17.11;28.62;-0.0751272250946;11497.6614968;11498;10912;0.78745012695;0.78745012695;améliore;oui;;;15078;0.0310684164536;11498;0.0191210582357;12040
7;7;Ardèche;1;André DUPONT_7_1;1ère circonscription;M;DUPONT;André;52;EM-MODEM;3;Non;Non;Non;10.8;43.8039233765;7;11018;14.14;29.18;0.0598773121496;12929.3346879;12929;9203;-1.05289256198;-1.042;degrade;oui;;;41745;0.0440392981251;20965;0.00143760225885;21035
7;7;Ardèche;1;Céline PORQUET_7_1;1ère circonscription;F;PORQUET;Céline;39;FN;3;Non;Non;Oui;10.8;43.8039233765;7;11272;14.47;29.86;-0.0897946046303;9166.5597889;9167;5876;0.390103780578;0.390103780578;améliore;non;;;60621;0.040893260993;9793;0.0298386762857;10543
7;7;Ardèche;2;Laurette GOUYET-POMMARET_7_2;2ème circonscription;F;GOUYET-POMMARET;Laurette;49;EM-MODEM;3;Non;Non;Non;10.8;43.8039233765;7;14333;15.41;26.03;-0.00790347541294;14074.5210675;14075;12718;0.159752321981;0.159752321981;améliore;oui;;;41745;0.0440392981251;18233;0.0143672621525;18868
7;7;Ardèche;2;Marc-Antoine QUENETTE_7_2;2ème circonscription;M;QUENETTE;Marc-Antoine;39;LR-UMP;3;Non;Non;Oui;10.8;43.8039233765;7;11585;12.45;21.04;-0.0974812714757;9255.81715366;9256;6585;0.4658;0.4658;améliore;non;;;15078;0.0310684164536;12861;8.38879576112E-4;12886
