code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voixt2Modele1;prediction;voixT2_modele2
3;3;Allier;2;Sylvain BOURDIER_3_2;2ème circonscription;M;BOURDIER;Sylvain;48;FG-FI;5;Non;Non;Non;10.5;45.1561753824;7;9814;11.59;20.65;-0.085982851585;8051.24795882;8051;7510;0.765190972222;0.765190972222;améliore;non;;;71423;0.0576651973747;14000;-0.00239196646277;13923
3;3;Allier;2;Laurence VANCEUNEBROCK-MIALON_3_2;2ème circonscription;F;VANCEUNEBROCK-MIALON;Laurence;47;EM-MODEM;4;Non;Non;Non;10.5;45.1561753824;7;12373;14.62;26.03;-0.0244068769431;11696.8288688;11697;10827;0.437257438551;0.437257438551;améliore;oui;;;41745;0.0440392981251;19366;0.00315650815124;19508
3;3;Allier;3;Bénédicte PEYROL_3_3;3ème circonscription;F;PEYROL;Bénédicte;26;EM-MODEM;3;Non;Non;Non;10.5;45.1561753824;7;13557;17.13;29.69;-0.0211737150381;12911.8918878;12912;13562;-129.0;-1.042;degrade;oui;;;41745;0.0440392981251;24073;0.0294597924001;25890
3;3;Allier;3;Jean-Pierre SIGAUD_3_3;3ème circonscription;M;SIGAUD;Jean-Pierre;69;FN;7;Non;Non;Non;10.5;45.1561753824;7;10029;12.67;21.96;-0.121444527086;7582.51196392;7583;5226;0.509265042682;0.509265042682;améliore;non;;;60621;0.040893260993;14246;0.037104443389;15641
4;4;Alpes-de-Haute-Provence;1;Delphine BAGARRY_4_1;1ère circonscription;F;BAGARRY;Delphine;47;EM-MODEM;3;Non;Non;Non;11.6;44.6698681255;8;9272;15.15;30.6;-0.0396908045465;8462.18700264;8462;10640;-0.592105263158;-0.592105263158;degrade;oui;;;41745;0.0440392981251;13977;0.0170135951202;14559
4;4;Alpes-de-Haute-Provence;1;Odile BRUN_4_1;1ère circonscription;F;BRUN;Odile;59;FN;2;Non;Non;Non;11.6;44.6698681255;8;9027;14.75;29.79;-0.0537379164216;7976.37430951;7976;5502;0.298156028369;0.298156028369;améliore;oui;;;60621;0.040893260993;10191;0.0503514313547;11619
4;4;Alpes-de-Haute-Provence;2;Léo WALTER_4_2;2ème circonscription;M;WALTER;Léo;45;FG-FI;3;Non;Non;Non;11.6;44.6698681255;8;8235;12.6;21.83;-0.0176829574546;7906.43392892;7906;5622;0.125908916954;0.125908916954;améliore;oui;;;71423;0.0576651973747;10029;0.0109346751232;10291
4;4;Alpes-de-Haute-Provence;2;Christophe CASTANER_4_2;2ème circonscription;M;CASTANER;Christophe;51;EM-MODEM;4;Oui;Oui;Non;11.6;44.6698681255;8;10161;15.55;26.94;0.126998639703;15387.8187204;15388;14957;1.08986655546;1.08986655546;ameliore/surestime;oui;;;41745;0.0440392981251;14360;0.0454304873186;16140
4;4;Alpes-de-Haute-Provence;2;Christian GIRARD_4_2;2ème circonscription;M;GIRARD;Christian;65;FN;7;Non;Non;Non;11.6;44.6698681255;8;8305;12.71;22.02;-0.0459252116082;7471.61396533;7472;4611;0.225500812128;0.225500812128;améliore;non;80;0.182729166667;60621;0.040893260993;11296;0.0494382624023;12845
5;5;Hautes-Alpes;1;Catherine ASSO_5_1;1ère circonscription;F;ASSO;Catherine;47;LR-UMP;4;Non;Non;Oui;9.15;43.4663956196;8;7605;13.17;22.36;-0.166448421895;5183.83054638;5184;4084;0.687588753195;0.687588753195;améliore;oui;;;15078;0.0310684164536;7605;0.0126654577433;7837
5;5;Hautes-Alpes;1;Patrick DEROIN_5_1;1ère circonscription;M;DEROIN;Patrick;64;FN;7;Non;Non;Non;9.15;43.4663956196;8;7354;12.74;21.62;-0.0891913709635;5988.69581679;5989;3938;0.399590163934;0.399590163934;améliore;non;;;60621;0.040893260993;7354;0.033585736456;7997
5;5;Hautes-Alpes;1;Pascale BOYER_5_1;1ère circonscription;F;BOYER;Pascale;51;EM-MODEM;4;Non;Non;Non;9.15;43.4663956196;8;8741;15.14;25.69;-0.0301340549415;8155.05820918;8155;9258;-1.1334622824;-1.042;degrade;oui;;;41745;0.0440392981251;11606;0.00804069394726;11827
5;5;Hautes-Alpes;2;Joël GIRAUD_5_2;2ème circonscription;M;GIRAUD;Joël;57;EM-MODEM;3;Oui;Oui;Non;9.15;43.4663956196;8;8598;16.48;34.47;0.131436217813;13297.890971;13298;12566;1.18447580645;1.18447580645;ameliore/surestime;oui;;;41745;0.0440392981251;9793;0.0301893637216;10553
5;5;Hautes-Alpes;2;Christophe TASSAUX_5_2;2ème circonscription;M;TASSAUX;Christophe;46;FG-FI;5;Non;Non;Non;9.15;43.4663956196;8;7556;14.49;30.3;-0.0973858601868;6038.18046898;6038;3357;0.361514646344;0.361514646344;améliore;non;;;71423;0.0576651973747;9116;0.0189338955159;9541
6;6;Alpes-Maritimes;1;Jean-Pierre DAUGREILH_6_1;1ère circonscription;M;DAUGREILH;Jean-Pierre;74;FN;3;Non;Non;Non;10.55;43.6876489503;8;10115;12.57;22.28;-0.0829276351844;8356.76619971;8357;4865;0.334857142857;0.334857142857;améliore;non;;;60621;0.040893260993;10467;0.0412087729665;11624
6;6;Alpes-Maritimes;1;Caroline REVERSO-MEINIETTI_6_1;1ère circonscription;F;REVERSO-MEINIETTI;Caroline;31;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;11232;13.96;24.74;-0.0281302079192;10527.5396762;10528;12599;-0.514996342356;-0.514996342356;degrade;oui;;;41745;0.0440392981251;14993;0.00909636009824;15317
6;6;Alpes-Maritimes;1;Eric CIOTTI_6_1;1ère circonscription;M;CIOTTI;Eric;51;LR-UMP;4;Oui;Oui;Oui;10.55;43.6876489503;8;10674;13.27;23.51;-0.0728442860272;9025.74194485;9026;13630;-0.55751014885;-0.55751014885;degrade;oui;;;15078;0.0310684164536;11227;0.0551328670668;12985
6;6;Alpes-Maritimes;2;Jérôme COCHET_6_2;2ème circonscription;M;COCHET;Jérôme;24;FN;5;Non;Non;Non;10.55;43.6876489503;8;14122;16.48;35.23;-0.0961580370896;11317.1786101;11317;9166;0.56598062954;0.56598062954;améliore;oui;;;60621;0.040893260993;15692;0.0304236262597;16920
6;6;Alpes-Maritimes;2;Loîc DOMBREVAL_6_2;2ème circonscription;M;DOMBREVAL;Loîc;51;EM-MODEM;2;Non;Non;Non;10.55;43.6876489503;8;12229;14.27;30.51;0.0452043355852;13735.7700916;13736;14364;0.705854800937;0.705854800937;améliore;oui;;;41745;0.0440392981251;17581;0.0412713564263;19528
6;6;Alpes-Maritimes;3;Cédric ROUSSEL_6_3;3ème circonscription;M;ROUSSEL;Cédric;44;EM-MODEM;3;Non;Non;Oui;10.55;43.6876489503;8;11854;13.3;28.91;0.0299214105636;12764.4282282;12764;12727;1.04238258877;1.04238258877;ameliore/surestime;oui;;;41745;0.0440392981251;20245;0.0341231364072;22047
6;6;Alpes-Maritimes;3;Philippe VARDON_6_3;3ème circonscription;M;VARDON;Philippe;36;FN;3;Non;Non;Non;10.55;43.6876489503;8;12784;14.35;31.18;-0.0529287359421;11317.1748566;11317;8476;0.340529247911;0.340529247911;améliore;oui;;;60621;0.040893260993;14232;0.032356886541;15425
6;6;Alpes-Maritimes;4;Xavier BECK_6_4;4ème circonscription;M;BECK;Xavier;63;LR-UMP;3;Non;Non;Oui;10.55;43.6876489503;8;11574;13.5;23.71;-0.0614396017575;10047.1729058;10047;8075;0.436410402972;0.436410402972;améliore;non;;;15078;0.0310684164536;12412;0.015280347029;12873
6;6;Alpes-Maritimes;4;Alexandra VALETTA ARDISSON_6_4;4ème circonscription;F;VALETTA ARDISSON;Alexandra;41;EM-MODEM;5;Non;Non;Non;10.55;43.6876489503;8;10832;12.63;22.19;-0.0690884678943;9238.89823492;9239;11045;-7.47887323944;-1.042;degrade;oui;;;41745;0.0440392981251;12143;0.0187800953626;12704
6;6;Alpes-Maritimes;4;Olivier BETTATI_6_4;4ème circonscription;M;BETTATI;Olivier;47;FN;2;Non;Non;Oui;10.55;43.6876489503;8;15319;17.87;31.38;-0.0596091375634;13354.304622;13354;9139;0.317961165049;0.317961165049;améliore;oui;;;60621;0.040893260993;15852;0.0457350808137;17832
6;6;Alpes-Maritimes;5;Chantal AGNELY_6_5;5ème circonscription;F;AGNELY;Chantal;60;FN;4;Non;Non;Non;10.55;43.6876489503;8;14676;16.69;28.59;-0.0597368524187;12790.0090172;12790;8948;0.329259776536;0.329259776536;améliore;oui;;;60621;0.040893260993;15615;0.0468668266307;17623
6;6;Alpes-Maritimes;5;Marine BRENIER_6_5;5ème circonscription;F;BRENIER;Marine;30;LR-UMP;3;Oui;Oui;Oui;10.55;43.6876489503;8;17155;19.51;33.42;-0.0733254823247;14489.8950557;14490;11090;0.439406430338;0.439406430338;améliore;oui;;;15078;0.0310684164536;25821;0.00996661317353;26435
6;6;Alpes-Maritimes;6;Nathalie AUDIN_6_6;6ème circonscription;F;AUDIN;Nathalie;49;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;10612;13.59;22.39;-0.0289909674562;9926.73147006;9927;12047;-0.477351916376;-0.477351916376;degrade;oui;;;41745;0.0440392981251;13075;0.0250456345539;13900
6;6;Alpes-Maritimes;6;Yoann SALIBA_6_6;6ème circonscription;M;SALIBA;Yoann;34;FN;2;Non;Non;Non;10.55;43.6876489503;8;13027;16.68;27.48;-0.0494997258615;11623.7078876;11624;7526;0.255044537357;0.255044537357;améliore;non;;;60621;0.040893260993;13542;0.0281323046811;14513
6;6;Alpes-Maritimes;6;Laurence TRASTOUR-ISNART_6_6;6ème circonscription;F;TRASTOUR-ISNART;Laurence;45;LR-UMP;4;Non;Non;Non;10.55;43.6876489503;8;13611;17.43;28.71;-0.141500357204;9826.29225368;9826;10010;1.05109691752;1.05109691752;ameliore/surestime;oui;;;15078;0.0310684164536;14420;0.0145764030001;14930
6;6;Alpes-Maritimes;7;Eric PAUGET_6_7;7ème circonscription;M;PAUGET;Eric;46;LR-UMP;3;Non;Non;Non;10.55;43.6876489503;8;15028;16.19;27.5;-0.0858452945048;12332.6353888;12333;14279;3.59813084112;1.715;surestime;oui;;;15078;0.0310684164536;15878;0.0423404643852;17689
6;6;Alpes-Maritimes;7;Lionel TIVOLI_6_7;7ème circonscription;M;TIVOLI;Lionel;29;FN;3;Non;Non;Non;10.55;43.6876489503;8;12025;12.95;22.0;-0.0689218945761;10260.3739758;10260;6718;0.332579611833;0.332579611833;améliore;non;;;60621;0.040893260993;12566;0.0246828272108;13347
6;6;Alpes-Maritimes;7;Khaled BEN ABDERRAHMANE_6_7;7ème circonscription;M;BEN ABDERRAHMANE;Khaled;48;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;15673;16.88;28.68;0.0433907052902;17513.1472087;17513;14225;-1.27071823204;-1.042;degrade;oui;;;41745;0.0440392981251;17322;0.0443383061961;19408
6;6;Alpes-Maritimes;8;Anne KESSLER_6_8;8ème circonscription;F;KESSLER;Anne;44;FN;3;Non;Non;Oui;10.55;43.6876489503;8;11988;14.62;25.03;-0.0690214198069;10226.4597759;10226;7363;0.380972972973;0.380972972973;améliore;non;;;60621;0.040893260993;12416;0.0371740824503;13634
6;6;Alpes-Maritimes;8;Philippe BUERCH_6_8;8ème circonscription;M;BUERCH;Philippe;51;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;10569;12.89;22.06;0.0419459461121;11761.6582117;11762;11199;1.89365079365;1.715;ameliore/surestime;oui;;;41745;0.0440392981251;13022;0.0185628620767;13617
6;6;Alpes-Maritimes;8;Bernard BROCHAND_6_8;8ème circonscription;M;BROCHAND;Bernard;79;LR-UMP;7;Oui;Oui;Oui;10.55;43.6876489503;8;15108;18.42;31.54;-0.116049538663;11565.3142414;11565;10919;0.84578658391;0.84578658391;améliore;oui;;;15078;0.0310684164536;15780;0.011278638179;16206
6;6;Alpes-Maritimes;9;Nathalie PAVARD_6_9;9ème circonscription;F;PAVARD;Nathalie;48;FN;3;Non;Non;Non;10.55;43.6876489503;8;12094;15.14;25.33;-0.0796931154811;10066.461776;10066;6815;0.384163667361;0.384163667361;améliore;non;;;60621;0.040893260993;12585;0.0375101510014;13833
6;6;Alpes-Maritimes;9;Dominique FILLEBEEN_6_9;9ème circonscription;F;FILLEBEEN;Dominique;61;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;11028;13.8;23.09;-0.0335166456874;10208.9273147;10209;12869;-0.444866920152;-0.444866920152;degrade;oui;;;41745;0.0440392981251;13730;0.023916189832;14554
6;6;Alpes-Maritimes;9;Michèle TABAROT_6_9;9ème circonscription;F;TABAROT;Michèle;54;LR-UMP;2;Oui;Oui;Oui;10.55;43.6876489503;8;13669;17.11;28.62;-0.0751272250946;11497.6614968;11498;10912;0.78745012695;0.78745012695;améliore;oui;;;15078;0.0310684164536;14441;0.0191210582357;15122
7;7;Ardèche;1;André DUPONT_7_1;1ère circonscription;M;DUPONT;André;52;EM-MODEM;3;Non;Non;Non;10.8;43.8039233765;7;11018;14.14;29.18;0.0598773121496;12929.3346879;12929;9203;-1.05289256198;-1.042;degrade;oui;;;41745;0.0440392981251;19326;0.00143760225885;19390
7;7;Ardèche;1;Céline PORQUET_7_1;1ère circonscription;F;PORQUET;Céline;39;FN;3;Non;Non;Oui;10.8;43.8039233765;7;11272;14.47;29.86;-0.0897946046303;9166.5597889;9167;5876;0.390103780578;0.390103780578;améliore;non;;;60621;0.040893260993;12069;0.0298386762857;12993
7;7;Ardèche;2;Laurette GOUYET-POMMARET_7_2;2ème circonscription;F;GOUYET-POMMARET;Laurette;49;EM-MODEM;3;Non;Non;Non;10.8;43.8039233765;7;14333;15.41;26.03;-0.00790347541294;14074.5210675;14075;12718;0.159752321981;0.159752321981;améliore;oui;;;41745;0.0440392981251;29095;0.0143672621525;30108
7;7;Ardèche;2;Odile LASFARGUES-BOUYON_7_2;2ème circonscription;F;LASFARGUES-BOUYON;Odile;70;FN;7;Non;Non;Non;10.8;43.8039233765;7;11995;12.89;21.78;-0.124188570026;9011.80285258;9012;6026;0.499748701625;0.499748701625;améliore;non;;;60621;0.040893260993;17328;0.0354256336471;18937
7;7;Ardèche;3;Alain JOFFRE_7_3;3ème circonscription;M;JOFFRE;Alain;62;FG-FI;7;Non;Non;Non;10.8;43.8039233765;7;9565;12.21;20.74;-0.0819344588184;7920.46201549;7920;5970;0.457579972184;0.457579972184;améliore;non;;;71423;0.0576651973747;14186;0.00585464756309;14381
7;7;Ardèche;3;Matthieu PEYRAUD_7_3;3ème circonscription;M;PEYRAUD;Matthieu;43;EM-MODEM;3;Non;Non;Non;10.8;43.8039233765;7;10984;14.03;23.82;0.0455503499245;12349.6389172;12350;10748;-5.78813559322;-1.042;degrade;oui;;;41745;0.0440392981251;18034;0.00974220015434;18453
8;8;Ardennes;1;Jean-Pierre MORALI_8_1;1ère circonscription;M;MORALI;Jean-Pierre;53;EM-MODEM;3;Non;Non;Non;11.95;41.8987953199;4;10290;14.03;25.49;0.063342626089;12206.7631908;12207;8004;-0.838582677165;-0.838582677165;degrade;oui;;;41745;0.0440392981251;18720;-0.00610304839341;18459
8;8;Ardennes;1;Sophie LORENZO_8_1;1ère circonscription;F;LORENZO;Sophie;39;FN;2;Non;Non;Non;11.95;41.8987953199;4;12788;17.44;31.67;-0.0964207122314;10241.9326439;10242;7278;0.462068965517;0.462068965517;améliore;non;;;60621;0.040893260993;16000;0.0406649468141;17741
8;8;Ardennes;2;Guillaume LUCZKA_8_2;2ème circonscription;M;LUCZKA;Guillaume;29;FN;3;Non;Non;Non;11.95;41.8987953199;4;10475;16.4;29.95;-0.101978911405;8282.76081519;8283;5424;0.4339734706;0.4339734706;améliore;non;;;60621;0.040893260993;13157;0.0293037843605;14144
8;8;Ardennes;2;Mario IGLESIAS_8_2;2ème circonscription;M;IGLESIAS;Mario;68;EM-MODEM;7;Non;Non;Non;11.95;41.8987953199;4;7342;11.49;21.0;0.0167443885478;7642.41001647;7642;6269;-0.279589934762;-0.279589934762;degrade;oui;;;41745;0.0440392981251;16538;0.0117046793203;17002
8;8;Ardennes;3;Jean-Luc WARSMANN_8_3;3ème circonscription;M;WARSMANN;Jean-Luc;51;LR-UMP;3;Oui;Oui;Non;11.95;41.8987953199;4;7636;13.36;23.47;0.0338544522869;8309.6788301;8310;12931;0.127289896128;0.127289896128;améliore;oui;;;15078;0.0310684164536;15883;0.0294819586135;17083
8;8;Ardennes;3;Amandine BLOMME_8_3;3ème circonscription;F;BLOMME;Amandine;35;FN;2;Non;Non;Non;11.95;41.8987953199;4;9998;17.49;30.72;-0.106587326579;7822.14398381;7822;4917;0.428262153119;0.428262153119;améliore;oui;;;60621;0.040893260993;10259;0.0356611208633;11219
9;9;Ariège;1;Jérôme AZEMA_9_1;1ère circonscription;M;AZEMA;Jérôme;44;EM-MODEM;2;Non;Non;Non;12.1;44.8625701691;6;8261;14.56;25.09;0.0359405700543;9041.03287297;9041;9478;0.640920295809;0.640920295809;améliore;oui;;;41745;0.0440392981251;12893;0.01349347617;13313
9;9;Ariège;1;Bénédicte TAURINE_9_1;1ère circonscription;F;TAURINE;Bénédicte;40;FG-FI;4;Non;Non;Non;12.1;44.8625701691;6;7727;13.62;23.46;-0.0993080890363;6147.56066638;6148;6125;0.985642946317;0.985642946317;améliore;oui;;;71423;0.0576651973747;11648;-0.00456655608776;11526
9;9;Ariège;2;Bernard GONDRAN_9_2;2ème circonscription;M;GONDRAN;Bernard;71;FN;3;Non;Non;Non;12.1;44.8625701691;6;7808;12.87;21.77;-0.0528628213666;6913.16596719;6913;4437;0.265499851676;0.265499851676;améliore;non;;;60621;0.040893260993;10191;0.0578929184737;11886
9;9;Ariège;2;Huguette BERTRAND-VINZERICH_9_2;2ème circonscription;F;BERTRAND-VINZERICH;Huguette;59;EM-MODEM;8;Non;Non;Non;12.1;44.8625701691;6;8413;13.87;23.46;-0.0233637301667;7972.36472272;7972;8161;1.75;1.715;ameliore/surestime;oui;;;41745;0.0440392981251;13014;-0.00227464299259;12946
9;9;Ariège;2;Michel LARIVE_9_2;2ème circonscription;M;LARIVE;Michel;50;FG-FI;4;Non;Non;Non;12.1;44.8625701691;6;7699;12.69;21.47;-0.0188895629647;7371.31137231;7371;5977;0.190476190476;0.190476190476;améliore;oui;;;71423;0.0576651973747;10722;-0.00119988211359;10692
10;10;Aube;1;Grégory BESSON-MOREAU_10_1;1ère circonscription;M;BESSON-MOREAU;Grégory;34;EM-MODEM;3;Non;Non;Non;12.75;41.719101558;4;8849;13.75;24.25;0.0351387788895;9663.36393969;9663;9730;0.923950056754;0.923950056754;améliore;oui;;;41745;0.0440392981251;9844;-0.00417579084276;9750
10;10;Aube;1;Nicolas DHUICQ_10_1;1ère circonscription;M;DHUICQ;Nicolas;56;LR-UMP;3;Oui;Oui;Oui;12.75;41.719101558;4;8964;13.93;24.56;0.00169186125285;8999.12585984;8999;8369;-0.0588235294118;-0.0588235294118;degrade_un_peu;oui;;;15078;0.0310684164536;8964;0.0127016333666;9238
