circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
43_2;Pierre ETEOCLE;Aurore ARNAUD;Jean-Pierre VIGIER;Lionel BOUTON;Josiane MIALON;Marie-Laure Busselot;;Michelle CHAUMET;
44_1;François DE RUGY;Guylène FRIARD;Julien BAINVEL;Sylvie CLABECQ;;Jean-Michel Mezange;;Aymeric SEASSAU;Hippolyte LE ROUTIER
44_2;Valérie OPPELT;Agnès CHRISSEMENT;Sébastien PILARD;Carole MALARD;Alain ROBERT;Pascale Chiron;;;Jean DE MASCUREAU
44_3;Anne-France BRUNET;Eléonore REVEL;Rozenn HAMEL;Martine GOURDON;Karine DANIEL;Judith Leray;;Robin SALECROIX;Chantal DURAND
44_4;Aude AMADOU;Alain AVELLO;;Vincent EGRON;Dominique RAIMBOURG;François Nicolas;Isabelle MERAND;Mireille PERNOT;Elodie CALONNE
44_5;Sarah EL HAÏRY;Arnaud DE RIGNÉ;;Katell ANDROMAQUE;Michel MÉNARD;Franco Fedele;Frederic MAINDRON;Michel LABOUREUR;Solange DALIFARD
44_6;Yves DANIEL;Brigitte NEDELEC;Alain HUNAULT;Brigitte MAILLET;Gérard POISSON;;;;
44_7;Sandrine JOSSO;Doris NOEL;Franck LOUVRIER;Catherine LEGAL;Anne BOYÉ;Yves Coquard;;Véronique MAHÉ;Gaël BOURDEAU
44_8;Audrey DUFEU SCHUBERT;Gauthier BOUCHET;Florence BEUVELET;Lionel DEBRAYE;Laurianne DENIAUD;Fabrice Bazin;;Yvon RENÉVOT;Armelle GUÉNOLÉ
44_9;Yannick HAURY;Jean-Luc JAVEL;Claire HUGUES;Jean Marie COSSON;;Corine Guignard;;Françoise GODARD;Christian BOISTEAU
44_10;Sophie ERRANTE;Jean-Marc BEAUVAIS;Jérôme GUIHO;Gaëlle CHAILLOT;;Brigitte Héridel;René BREVET;Marie-Claude ROBIN;Christophe AUDREN
45_1;Stéphanie RIST;Colette POLTARATSKY;Charles-Eric LEMAIGNEN;Anne-Sophie LEGUIN;Olivier JOUIN;;;Michel RICOUD;Daniel SIMON
45_2;Caroline JANVIER;Nadine BOISGERAULT;Serge GROUARD;Olivier HICTER;;Jean-Philippe Grand;;Mathieu GALLOIS;David VAN HEMELRYCK
45_3;Jihan CHELLY;Charles DE GEVIGNEY;Claude DE GANAY;Kevin MERLOT;;Cedric Petit;;Monique BARRET;
45_4;Mélusine HARLÉ;Ludovic MARCHETTI;Jean-Pierre DOOR;;Jalila GABORET;Massila Salemkour;;Franck DEMAUMONT;Luc BUCHETON
45_5;David SIMONNET;Jeanne BEAULIER;Marianne DUBOIS;Marie AGAM;Thierry STROMBONI;Benoit Varin;;Estelle CALZADA;Frédéric MALMARTEL
45_6;Richard RAMOS;Myriam BACHIR;;Jérôme SCHMITT;Valérie CORRE;Hamid KHOUTOUL;Alexandrine LECLERC;Dominique TRIPET;Bernadette BECK
46_1;Sébastien MAUREL;Emmanuel CRENNE;Aurélien PRADIÉ;Isabelle EYMES;;Mathieu Ebbesen Goudin;;Fanny BEGGIATO;Isabelle DUPRAT
46_2;Huguette TIEGNA;Virginie CASTAGNOL;Roland HUREAUX;Pierre DUFOUR;Vincent LABARTHE;Florence Rouch;Antoine LOREDO;Christian RIBEYROTTE;
47_1;Michel LAUZZANA;Catherine LESNÉ;;Céline BOUSSIÉ;Lucette LOUSTEAU;Maryse Combres;Jean DIONIS DU SEJOUR;Danielle BLASCO;Benoît AURICES
47_2;Alexandre FRESCHI;Hélène LAPORTE;Emilien ROSO;Sylvio GUINGAN;Matthias FEKL;Mathilde Bœuf;;Michel CERUTI;Dalila BENCHELIFF
47_3;Olivier DAMAISIN;Étienne BOUSQUET-CASSAGNE;Jean-Louis COSTES;Rémy GARNIER;Guillaume MOLIERAC;Lionel Feuillas;;Nicolas LUCMARIE;Bernard PIOT
48_1;Francis PALOMBI;Emmanuel GERSTNER;Pierre MOREL A L'HUISSIER;Christian CAUSSE;Aurelie MAILLOLS;Francoise TOLEDANO;;Serge GAYSSOT;Loic MARCHAND
49_1;Matthieu ORPHELIN;Marie BARON;Caroline FEL;Manon CANTIN;Luc BELOT;Romain Laveau;;Valentin BROUILLARD-DUSONG;Géraldine ROBERT
49_2;Stella DUPONT;Valentin BELHADJALI;Maxence HENRY;Tiphaine PRIER;Florence RAYMOND AUGIER;Romain Dolais;Laurent DAMOUR;Alain PAGANO;Jean-Baptiste ROULEAU
49_3;Anne BARRAULT;Patrice LANCIEN;Jean-Charles TAUGOURDEAU;Georges CHABRIER;;Daphné Raveneau;;Patrice DAVIAU;
49_4;Laëtitia SAINT-PAUL;Aymeric MERLAUD;;France MOREAU;Meriem BABA;Christelle Cardet;Éric TOURON;Marie-Loup LELIAS;Patrick DAVIAUD
49_5;Denis MASSEGLIA;Lucie PINEAU;;Kévin CERTENAIS;Jean-Marc VACHER;Franck Loiseau;;Claudie LECUYER;Martine CORDIER
49_6;Nicole DUBRE-CHIRAT;Bernadette DE LA BOURDONNAYE;André MARTIN;Maryline FONTENEAU GRELET;Serge BARDY;;;Pauline EMERY;Thomas CHAMAILLÉ
49_7;Philippe BOLO;Aurore LAHONDÈS;Étienne GLÉMOT;Olivier DUPUIS;Silvia CAMARA-TOMBINI;Hervé Dubosclard;;Stéphanie DUPEYROUX;Stéphanie CHIVERT
50_1;Benoîte NOUET;Franck SIMON;Philippe GOSSELIN;Aurélien MARION;Clémence MAULAT;Jérôme Virlouvet;;Corinne VAUTIER;
50_2;Bertrand SORRE;Marie-Françoise KURDZIEL;Guenhaël HUET;Patrick GRIMBERT;;Sophie Nicklaus;;Miloud MANSOUR;
50_3;Stéphane TRAVERT;Carmen MASSON;Jean-Manuel COUSIN;Bernard REBOLLE;;Laurent Huet;;Chantal TAMBOUR;
50_4;Blaise MISTLER;Jean-Jacques NOËL;Sophie GUYON;Yvonne PECORARO;Arnaud CATHERINE;Jean-Sébastien Hederer;;Valérie VARENNE;
51_1;;Sandrine VIGNOT;Valérie BEAUVAIS;Laure MANESSE;Alexandre TUNC;Marie-Ange Petit;;;Anne-Sophie FRIGOUT
51_2;Aina KURIC;Cindy DEMANGE;Catherine VAUTRIN;Victorien PÂTÉ;Imane MANIANI;Patricia Coradel;;;Daniel MÉNARD
51_3;Éric GIRARDIN;Baptiste PHILIPPO;Rachel PAILLARD;Roland JACQUES;;David Nicanor;;Pierre MARTINET;Jacky BLAVIER
51_4;;Thierry BESSON;Lise MAGNIER;Claudine LANG;Rudy NAMUR;Françoise Brunel;;Dominique VATEL;Sandrine HENRIQUES-GODART
51_5;Bertrand TREPO;Thomas LAVAL;;Laurène MASSICARD;;Françoise DEHUT;Charles DE COURSON;Dominique CHAILLOUX;Estelle ARBOGAST
52_1;Bérangère ABBA;Fabienne CUDEL;Adrien GUENÉ;Ariane WALASZEK;Axel CAUSIN;Patrick Varney;;Patricia PETRONELLI;
52_2;Vincent BERTHET;Frédéric FABRE;François CORNUT-GENTILLE;Daniel MONNIER;Antoine DESFRETIER;Valérie Roffidal;;Edouard GONZALEZ;
53_1;Béatrice MOTTIER;Bruno DE LA MORINIÈRE;Samia SOULTANI-VIGNERON;Nicolas CHOMEL;Guillaume GAROT;Maël Rannou;;Aurélien GUILLOT;Isabelle MAHÉ GENERO
53_2;Géraldine BANNIER;Sylviane DÉGÉ;Guillaume CHEVROLLIER;Emeline RIO;Marie-Noëlle TRIBONDEAU;Françoise Marchand;;Florian DEROUET;Françoise CHIVERT
53_3;Josselin CHOUZY;Monique MORAND;;Léa RAIMBAULT;;Sophie Leterrier;Yannick FAVENNEC;Maud JAN-BRUSSON;Claudine CHARTIER
54_1;Carole GRANDJEAN;Barbara HOFFMANN;;Nordine JOUIRA;Chaynesse KHIROUNI;Eric DAMMAME;Mostafa FOURAR;Marie-Christine BASTIEN;François-Marie L'HUILLIER
54_2;Laurent GARCIA;Grégoire EURY;Valérie DEBORD;Nassima FAÏQ;Hervé FERON;Lionel CHAMBROT;;Bora YILMAZ;Patricia SCHLATER
54_3;Xavier PALUSZKIEWICZ;Céline DOLCEMASCOLO;Mathieu SERVAGI;Patrice ZOLFO;Christian ECKERT;Mikael Agopiantz;;Jean-Marc LEON;Christiane VAUTRIN
54_4;Philippe BUZZI;Dominique BILDE;Thibault BAZIN;Vincent GUENAIRE-DOAZAN;;Marie-Neige Houchard;;;Michel NOISETTE
54_5;Marion BUCHET;Billy WINKENS;Philippe MORENVILLIER;Rodolphe BAUER;Dominique POTIER;Patrick Baranger;;Lauranne WITT;Gilbert CANTERI
54_6;;Cédric MARSOLLE;Lise ROSELEUR;Caroline FIAT;Julien VAILLANT;Stéphane Léonardi;;Eric MONNINI;Dorian MANZOLI
55_1;Diana ANDRÉ;Corinne KAUFMANN;;Guy JEANNESSON;Arnaud MAC FARLANE;Jean-Marc Fleury;Bertrand PANCHER;;Sylvie FRASEZ
55_2;Emilie CARIOU;Eric VILAIN;Pierre REGENT;Michaël CLÉMENT;Jean-Louis DUMONT;Yves DHYVERT;;François-Xavier FRANCESCHINI;
56_1;Hervé PELLOIS;Bertrand IRAGNE;Christine PENHOUET;Céline MENESES;;Pascal Baudont;Odile MONNET;Anita KERVADEC;Jean-François HERVIEU
56_2;;Eric FORDOS;Philippe LE RAY;David JAN;Stéphanie LE SQUER;Didier Coupeau;;Gwenhaëlle LE DÉLÉTER;Pascale MORISS
56_3;Nicole LE PEIH;Sylvie BAUD;Soizic PERRAULT;Marie Madeleine DORÉ-LUCAS;Marie Christine LE MOUËL;Patrick Naizain;Benoît ROLLAND;;Jérôme BOUCHÉ
56_4;Paul MOLAC;Agnès RICHARD;Marie-Hélène HERRY;Cécile BUCHET;;Nathalie Landriau-Berhault;;;David CABAS
56_5;Gwendal ROUILLARD;Christian MOUTON;David DRÉGOIRE;Alexandre SCHEUER;;Damien Girard;Teaki DUPONT;Delphine ALEXANDRE;
56_6;Jean-Michel JACQUES;Yvan CHICHERY;Anne Maud GOUJON;David GUILLEMET;;;Gwenn LE NAY;;Joël LE GUELLEC
57_1;Belkhir BELHADDAD;Laurence BURG;Marie-Louise KUNTZ;Narjès CHOUIKHA;Aurélie FILIPPETTI;Corinne MORGEN;Marie TRIBOUT;Thomas CALLIGARO;
57_2;Ludovic MENDES;Marie-Claude VOINÇON;Jean FRANÇOIS;Claudine POIRSON;Jean-Michel TOULOUZE;Marie-Pierre Comte;Nathalie COLIN-OESTERLÉ;Irma VOLLMER;
57_3;Richard LIOGER;Françoise GROLET;Marie-Jo ZIMMERMANN;Denis MACIAZEK;Nathalie DE OLIVEIRA;Mathias Boquet;Chrisitne SINGER;Marie MARECHAL;
57_4;Mathilde HUCHOT;Amélie DE LA ROCHÈRE;Fabien DI FILIPPO;Catherine GROSSE;Rémy HAMANT;Brigitte Albertus;;Hélène GIRARDOT;Didier CONTE
57_5;Nicole GRIES-TRISSE;Pascal JENFT;Céleste LETT;Brigitte BLANG;Angèle DUFFLO;Elisabeth Parachini;David SUCK;Bernadette HILPERT;Solenne SCHAFF
57_6;Christophe AREND;Florian PHILIPPOT;Pierre LANG;Jonathan OUTOMURO;Jean-Christophe KINNEL;Chantal Mary;;Nicolas WALCZAK;
57_7;Hélène ZANNIER;Kévin PFEFFER;;Kathia DONATÉ;Paola ZANETTI;Martine Jung;André WOJCIECHOWSKI;;
57_8;Brahim HAMMOUCHE;Hervé HOFF;Eliane ASSIOMA-COSTA;Lionel BURRIELLO;Peggy MAZZERO-BECKER;Pascal Didier;;Patrick PERON;Bernadette MECKES
57_9;Isabelle RAUCH;Emilie MATZ;Pauline LAPOINTE-ZORDAN;Jean-Luc PIERRÉ;Brigitte VAÏSSE;Guy Harau;;Anne RICHARD;Carole LELIEVRE-CHRISTIANY
58_1;Perrine GOULET;Pauline VIGNERON;;Marie-Claude TAUREL;Gaëtan GORCE;Sylvie Dupart-Muzerelle  ;Guillaume MAILLARD;François DIOT;Jean-Louis AUBERGET
58_2;Patrice PERROT;Harold BLANOT;Annie LEGRAIN;Marie-Anne GUILLEMAIN;Christian PAUL;Gilbert Champagne;;Monique CHOQUEL;Patrick VANHERSECKE
59_1;Christophe ITIER;Eric DILLIES;;Adrien QUATENNENS;François LAMY;Anne Mikolajczak;Nicolas LEBAS;Hugo VANDAMME;
59_2;Houmria BERRADA;Véronique DESCAMPS;Florence BARISEAU;Ugo BERNALICIS;Audrey LINKENHELD;Hélène Hardy;;Romain LECLERCQ;
59_3;Christophe DI POMPEO;Sylvie GODDYN;;Aurélien MOTTE;Rémi PAUVROS;Franck Lesueur-Bonte;Alain POYART;Patrick VILTART;
59_4;Brigitte LISO;Julien FRANQUET;Jacques HOUSSIN;Jean-Pierre HOUBRON;Philippe HARQUET;Stéphane Baly;;Pierre-Yves PIRA;Christine TAVERNIER
59_5;Guillaume DEKONINCK;Victor CATTEAU;Sébastien HUYGHE;Lucile CAPLIER;Aude LEDUC;Yannick Brohard;;Françoise DUMEZ;Guillaume LEVECQ
59_6;Charlotte LECOCQ;Eric CATTELIN-DENU;Thierry LAZARO;Amandine FOUILLARD;;Maryse Faber-Rossi;;Nadine SAVARY-CANTELOUP;
