circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
59_7;Arnaud VERSPIEREN;Françoise COOLZAET;;Yann MERLEVEDE;Hélène VIARD;Karima Chouia;Francis VERCAMER;;
59_8;Catherine OSSON;Astrid LEPLAT;Léonard DELCOURT;Paul ZILMIA;Mehdi MASSROUR;Chritian Carlier;;;Sandrine VANHOORDE
59_9;Valérie PETIT;Valérie TALPAERT;Bernard GERARD;Céleste VAN ISTERDAEL;;Sandrine Rousseau;;Martine ROUSSEL-VANHÉE;Jean-Luc LANDRU
59_10;Sophie TAÏEB;Virginie ROSEZ;Vincent LEDOUX;Adélie CORMONT;Yasmina CHIGRI;Olivier Descamps;;Jocelyne LEFEBVRE;Frédéric DEBRUYNE
59_11;Laurent PIETRASZEWSKI;Nathalie ACS;Karine CHARBONNIER;Sébastien POLVECHE;Roger VICOT;Lise Daleux;;Arnaud MARIÉ;Christophe DEVLIEGHER
59_12;Anne Laure CATTELOT;Gérard PHILIPPE;Marjorie GOSSELET;Laurent COURTOIS;;Elisabeth Saint-Guily;;Jean DURIEUX;
59_13;Sarah ROBIN;Philippe EYMERY;;Elio BERTE-LANGEREAU;;Virginie Henocq;Mickaëlle LEFÈVRE;Delphine CASTELLI;
59_14;Julien LEMAITTE;Jean-Paul TISSERAND;Paul CHRISTOPHE;Delphine DECOSTER;Christian DEVOS;Myriam Santhune;;Nathalie BENALLA;
59_15;Jennifer DE TEMMERMAN;Pascal PRINCE;Jean-Pierre BATAILLE;Hervé WALRAEVE;Michel LABITTE;Guillaume Fache;Bruno FICHEUX;;
59_16;Chantal RYBAK;Hortense DE MEREUIL;Nacéra SOLTANI;;Frédéric DELANNOY;Philippe Bernard;;Alain BRUNEEL;
59_17;Dimitri HOUBRON;Thibaut FRANCOIS;Frédéric NIHOUS;François GUIFFARD;Agnès DUPUIS;Lucile Wacheux;;Charles BEAUCHAMP;
59_18;Claire POMMEYROL-BURLET;Mélanie DISDIER;;Thérèse-Marie CARDON;;Thomas Fremond;Guy BRICOUT;;Rosella MILOT
59_19;Sabine HEBBAR;Sébastien CHENU;Olivier CAPRON;Julien POIX;Anne-Lise DUFOUR-TONINI;Xavier Blottière;;Pascal JEAN;
59_20;Daniel ZIELINSKI;Ludovic DE DANNE;;David RICHER;;Frédéric Bigot;David BUSTIN;Fabien ROUSSEL;
59_21;;Valérie CAUDRON;;Ophélie TRICOT;Christine LAURENT;Pauline Pottier;Béatrice DESCAMPS;Patrick KOLEBACKI;
