Depts-Circo	LFI	PCF	EELV	PS	EM	UDI	LR	DLF	FN
045-01	8.33	1.09	1.66	5.3	18.7	1.76	11.88	0.25	8.95
045-02	8.56	1.09	1.51	4.85	15.99	1.53	10.72	0.32	11.34
045-03	7.33	0.82	0.74	2.45	14.16	1.53	12.59	2.46	15.32
045-04	7.56	0.84	0.68	2.27	12.51	1.42	11.93	2.25	16.29
045-05	7.92	0.89	0.73	2.45	13.36	1.39	11.55	2.31	15.65
045-06	8.77	1.13	1.6	5.13	17.09	1.6	11.06	0.32	11.31
046-01	11.76	1.51	1.77	5.75	16.94	1.36	8.98	0.28	9.74
046-02	11.71	1.51	1.81	5.87	18.11	1.41	9.06	0.24	8.59
047-01	9.46	1.18	1.41	4.59	14.39	1.37	9.82	0.38	13.1
047-02	9.35	1.16	1.32	4.29	13.13	1.31	9.69	0.42	14.36
047-03	9.58	1.19	1.35	4.38	13.49	1.34	9.77	0.39	13.34
048-01	9.91	1.25	1.44	4.69	15.1	1.64	11.78	0.31	10.8
049-01	9.21	1.22	1.77	5.66	18.56	1.82	12.32	0.21	7.61
049-02	9.74	1.28	1.79	5.76	18.66	1.68	11.16	0.22	7.96
049-03	8.02	0.91	0.75	2.51	14	1.65	13.38	2.17	14.19
049-04	7.38	0.84	0.8	2.63	15.62	1.78	14	2.15	12.9
049-05	7.49	0.88	0.98	3.19	19.36	1.85	13.45	1.97	8.74
049-06	8.5	1.1	1.59	5.1	18.08	1.78	12.19	0.27	9.57
049-07	9	1.17	1.66	5.33	18.3	1.79	12.18	0.26	9.39
005-01	10.32	1.3	1.47	4.79	14.7	1.35	9.61	0.36	12.38
005-02	10.97	1.38	1.46	4.77	14.35	1.46	10.45	0.31	10.98
050-01	8.08	1.02	1.47	4.72	16.44	1.62	11.41	0.35	12.17
050-02	7.27	0.84	0.82	2.7	16.22	1.82	14.18	2.21	11.16
050-03	8.4	1.06	1.45	4.65	15.95	1.61	11.43	0.35	12.22
050-04	10.27	1.34	1.8	5.79	16.6	1.29	8.59	0.3	10.36
051-01	8.43	1.06	1.37	4.42	14.92	1.47	10.49	0.36	12.6
051-02	7.83	0.98	1.34	4.3	15.27	1.62	11.64	0.35	12.15
051-03	7.09	0.79	0.67	2.23	12.7	1.5	12.5	2.15	15.89
051-04	7.61	0.85	0.71	2.38	13.17	1.43	11.74	2.1	15.37
051-05	6.21	0.66	0.6	1.97	12.03	1.55	13.5	2.47	19.75
052-01	7.7	0.87	0.71	2.39	13.12	1.41	11.65	2.21	15.4
052-02	6.82	0.73	0.56	1.88	10.16	1.17	10.7	2.36	20.65
053-01	8.23	1.06	1.58	5.04	18.37	1.89	12.99	0.26	9.32
053-02	7.39	0.95	1.46	4.64	17.95	2.08	14.63	0.26	9.39
053-03	7	0.8	0.82	2.7	16.63	1.9	14.72	2.21	11.26
054-01	10.15	1.33	1.76	5.67	16.82	1.49	10.06	0.26	9.32
054-02	9.17	1.21	1.78	5.69	18.29	1.62	10.74	0.23	8.29
054-03	11.78	1.45	1.31	4.35	12.08	0.94	6.75	0.38	12.98
054-04	8.44	0.94	0.72	2.43	12.39	1.19	10.11	2.16	17.42
054-05	8.24	0.92	0.73	2.45	12.83	1.22	10.39	2.3	17.42
054-06	10.84	1.33	1.33	4.37	12.32	0.98	7.26	0.46	15.64
055-01	7.47	0.82	0.69	2.3	12.62	1.27	10.9	2.42	17.91
055-02	7.29	0.8	0.68	2.27	12.52	1.3	11	2.21	17.34
056-01	7.92	1.06	1.81	5.75	20.94	2.01	13.41	0.21	7.78
056-02	9.18	1.2	1.76	5.63	18.1	1.72	11.73	0.28	9.81
056-03	8.78	1.12	1.62	5.2	17.99	1.56	10.59	0.35	12.29
056-04	8.99	1.14	1.57	5.06	16.94	1.6	11.19	0.35	12.21
056-05	9.54	1.27	1.91	6.1	18.51	1.47	9.43	0.23	8.05
056-06	9.87	1.28	1.78	5.71	17.67	1.4	9.22	0.3	10.56
057-01	9.66	1.2	1.4	4.54	14.01	1.19	8.46	0.39	13.31
057-02	8.23	1.04	1.39	4.49	15.08	1.45	10.25	0.35	12.13
057-03	8.46	1.07	1.46	4.71	15.34	1.38	9.58	0.34	11.85
057-04	6.47	0.7	0.61	2.03	11.86	1.35	12	2.8	18.68
057-05	6.55	0.71	0.62	2.07	11.82	1.24	10.82	2.47	17.32
057-06	8.67	0.98	0.63	2.18	9.99	0.94	8.36	1.97	16.45
057-07	8.04	0.89	0.66	2.25	11.39	1.09	9.6	2.29	17.7
057-08	10.95	1.36	1.32	4.36	11.53	0.84	6.07	0.39	13.45
057-09	7.97	0.91	0.83	2.74	15.2	1.41	10.86	1.99	12.43
058-01	9.4	1.19	1.44	4.66	14.07	1.2	8.41	0.35	12.24
058-02	9.03	1.14	1.45	4.69	14.24	1.31	9.42	0.39	13.55
059-01	13.47	1.76	1.94	6.33	14.56	1.03	6.68	0.22	7.78
059-10	9.47	1.17	1.2	3.94	11.87	1.17	8.69	0.38	13.07
059-11	10.6	1.36	1.58	5.14	13.8	1.2	8.5	0.33	11.59
059-12	9.18	1.03	0.65	2.26	10.33	1.06	9.49	2.11	18.91
059-13	11.32	1.39	1.27	4.21	10.3	0.79	6.21	0.48	16.37
059-14	8.45	0.94	0.7	2.38	12.24	1.27	10.91	2.3	18.12
059-15	8.59	0.97	0.74	2.49	13.01	1.38	11.51	2.22	16.77
059-16	12.2	1.47	1.19	4	9.46	0.71	5.87	0.55	18.71
059-17	10.58	1.29	1.23	4.06	11.19	1.02	7.91	0.49	16.9
059-18	7.9	0.87	0.63	2.15	10.94	1.15	10.2	2.28	18.73
059-19	11.33	1.36	1.17	3.9	9.39	0.73	6.16	0.59	19.98
059-02	13.19	1.71	1.84	6.02	14.82	1.06	7	0.27	9.34
059-20	9.93	1.12	0.66	2.29	9.36	0.79	7.25	1.82	18.45
059-21	9.52	1.09	0.73	2.49	11.59	1.13	9.33	1.74	15.5
059-03	9.18	1.03	0.64	2.21	9.68	0.93	8.35	1.79	18.11
059-04	8.81	1.13	1.55	4.97	17.08	1.7	11.74	0.27	9.76
059-05	9.64	1.2	1.42	4.6	14.18	1.28	9.32	0.44	15.05
059-06	7.96	0.91	0.86	2.83	16.48	1.77	13.68	2.04	13.42
059-07	10.11	1.27	1.42	4.62	14.74	1.51	10.73	0.3	10.7
059-08	11.89	1.49	1.36	4.51	11.07	0.77	5.38	0.33	11.17
059-09	8.51	1.1	1.45	4.67	16.27	1.95	13.82	0.21	7.6
006-01	8.35	1.03	1.17	3.81	13.72	1.71	12.71	0.35	12.38
006-02	8.02	0.9	0.69	2.33	12.62	1.56	12.85	1.86	16.48
006-03	8.47	1.03	1.12	3.65	13.01	1.6	12.05	0.4	14.12
006-04	7.29	0.8	0.6	2.03	11.26	1.6	13.5	1.78	17.87
006-05	7.58	0.84	0.67	2.24	12.5	1.63	13.37	1.7	16.69
006-06	6.18	0.67	0.64	2.1	13.26	1.9	15.54	1.88	16.68
006-07	6.59	0.74	0.73	2.41	15.15	2.07	16.19	1.66	12.95
