Prénom;Nom;Département;Numéro de département;Numéro de la circonscription;facebook;twitter;url
Jacqueline;MAQUET;Pas-de-Calais;62;2;;https://twitter.com/JMaquetDeputee;http://www.parti-socialiste.fr/personnalite/jacqueline-maquet/
Alexandre;OUIZILLE;Oise;60;7;https://www.facebook.com/ouizille.alexandre?fref=ts;https://twitter.com/aouizille;http://www.parti-socialiste.fr/personnalite/alexandre-ouizille/
Johann;LUCAS;Oise;60;3;https://www.facebook.com/JohannLucas2017/?fref=ts;https://twitter.com/johannlucasfr?lang=fr;http://www.parti-socialiste.fr/personnalite/johann-lucas/
Christine;LAURENT;Nord;59;21;;https://twitter.com/chrislaurentva;http://www.parti-socialiste.fr/personnalite/christine-laurent/
Agnès;DUPUIS;Nord;59;17;https://www.facebook.com/AgnesDupuis2017/;https://twitter.com/AgnesDupuis2017;http://www.parti-socialiste.fr/personnalite/agnes-dupuis/
Marcel;LOUREL;Nord;59;20;;;http://www.parti-socialiste.fr/personnalite/marcel-lourel/
Claire;POMMEYROL BURLET;Nord;59;18;;;http://www.parti-socialiste.fr/personnalite/claire-pommeyrol-burlet/
Michel;LABITTE;Nord;59;15;https://www.facebook.com/Michel-LabitteValerie-Pringuez-2017-1282336875156017/?fref=ts;https://twitter.com/labittepringuez?lang=fr;http://www.parti-socialiste.fr/personnalite/michel-labitte/
Frédéric;DELANNOY;Nord;59;16;;;http://www.parti-socialiste.fr/personnalite/frederic-delannoy/
Rémi;PAUVROS;Nord;59;3;https://www.facebook.com/remipauvros1/?fref=ts;https://twitter.com/RPauvros;http://www.parti-socialiste.fr/personnalite/remi-pauvros/
Audrey;LINKENHELD;Nord;59;2;;https://twitter.com/linkenheld_a?lang=fr;http://www.parti-socialiste.fr/personnalite/audrey-linkenheld/
François;LAMY;Nord;59;1;https://www.facebook.com/francois.lamy.37/?fref=ts;https://twitter.com/lamy_f;http://www.parti-socialiste.fr/personnalite/francois-lamy-2/
Marie-Françoise;Bechtel;Aisne;02;4;https://www.facebook.com/DeputeeBechtel;https://twitter.com/mfbechtel;http://www.parti-socialiste.fr/personnalite/marie-francoise-bechtel/
Jean-Louis;BRICOUT;Aisne;02;3;;https://twitter.com/jlbricout;http://www.parti-socialiste.fr/personnalite/jean-louis-bricout/
Christian;FRANQUEVILLE;Vosges;88;4;;;http://www.parti-socialiste.fr/personnalite/christian-franqueville/
Pierre;Parra;Haut-Rhin;68;6;;;http://www.parti-socialiste.fr/personnalite/pierre-parra/
Abdellatif;Timdouine;Haut-Rhin;68;5;https://www.facebook.com/abdellatif.timdouine.9;https://twitter.com/timabdell?lang=en;http://www.parti-socialiste.fr/personnalite/abdellatif-timdouine/
Eric;ELKOUBY;Bas-Rhin;67;1;https://www.facebook.com/profile.php?id=100011238844986;;http://www.parti-socialiste.fr/personnalite/eric-elkouby/
Michel;LIEBGOTT;Moselle;57;8;;https://twitter.com/MichelLiebgott;http://www.parti-socialiste.fr/personnalite/michel-liebgott/
Serge;OEHLER;Bas-Rhin;67;3;https://www.facebook.com/Serge.Oehler;https://twitter.com/SergeOehler;http://www.parti-socialiste.fr/personnalite/serge-oehler/
Brigitte;VAISSE;Moselle;57;9;;https://twitter.com/VaisseBrigitte;http://www.parti-socialiste.fr/personnalite/brigitte-vaisse/
Paola;ZANETTI;Moselle;57;7;https://www.facebook.com/paolazanetti57/?fref=ts;https://twitter.com/paolazanetti57;http://www.parti-socialiste.fr/personnalite/paola-zanetti/
Angèle;DUFFLO;Moselle;57;5;https://www.facebook.com/angeledufflo.lorraine/?fref=ts;https://twitter.com/angeledufflo;http://www.parti-socialiste.fr/personnalite/angele-dufflo/
Jean-Christophe;KINNEL;Moselle;57;6;https://www.facebook.com/kinnel2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/jean-christophe-kinnel/
Jean-Michel;TOULOUZE;Moselle;57;2;;https://twitter.com/jmtoulouze;http://www.parti-socialiste.fr/personnalite/jean-michel-toulouze/
Nathalie;DE OLIVEIRA;Moselle;57;3;https://www.facebook.com/nathaliedeoliveira2017/?fref=ts;https://twitter.com/N_de_Oliveira;http://www.parti-socialiste.fr/personnalite/nathalie-de-oliveira/
Jean;Louis DUMONT;Meuse;55;2;https://www.facebook.com/jldumont55/;https://twitter.com/JLDumont55;http://www.parti-socialiste.fr/personnalite/jean-louis-dumont/
Julien;VAILLANT;Pyrénées-Atlantiques;64;6;;https://twitter.com/vaillant_julien?lang=fr;http://www.parti-socialiste.fr/personnalite/julien-vaillant/
Arnaud;MAC FARLANE;Meuse;55;1;;;http://www.parti-socialiste.fr/personnalite/arnaud-mac-farlane/
Hervé;FERON;Meurthe-et-Moselle;54;2;https://www.facebook.com/herve.feron;https://twitter.com/HerveFeron;http://www.parti-socialiste.fr/personnalite/herve-feron/
Dominique;POTIER;Meurthe-et-Moselle;54;5;https://www.facebook.com/potierdominique/?fref=ts;https://twitter.com/PotierDominique;http://www.parti-socialiste.fr/personnalite/dominique-potier-2/
Christian;ECKERT;Meurthe-et-Moselle;54;3;;https://twitter.com/CECKERT56;http://www.parti-socialiste.fr/personnalite/christian-eckert/
Chaynesse;KHIROUNI;Meurthe-et-Moselle;54;1;https://www.facebook.com/chaynessekhirouni/?fref=ts;;http://www.parti-socialiste.fr/personnalite/chaynesse-khirouni/
Rudy;NAMUR;Marne;51;4;;https://twitter.com/RudyNAMUR;http://www.parti-socialiste.fr/personnalite/rudy-namur/
Antoine;DESFRETIER;Haute-Marne;52;2;;https://twitter.com/antoinedesf;http://www.parti-socialiste.fr/personnalite/antoine-desfretier/
Imane;MANIANI;Marne;51;2;;;http://www.parti-socialiste.fr/personnalite/imane-maniani/
Linda;MUNSTER;Marne;51;5;;https://twitter.com/lindamunst;http://www.parti-socialiste.fr/personnalite/linda-munster/
Hadhoum;BELAREDJ TUNC;Marne;51;3;;https://twitter.com/hadhoumBelaredj;http://www.parti-socialiste.fr/personnalite/hadhoum-belaredj-tunc/
Aurélie;FILIPPETTI;Moselle;57;1;https://www.facebook.com/filippetti2017/?fref=ts;https://twitter.com/aurelifil;http://www.parti-socialiste.fr/personnalite/aurelie-filippetti/
Alexandre;TUNC;Marne;51;1;;https://twitter.com/TuncAlexandre;http://www.parti-socialiste.fr/personnalite/alexandre-tunc/
Philippe;BIES;Bas-Rhin;67;2;https://www.facebook.com/philippe.bies.3;https://twitter.com/PhilippeBIES;http://www.parti-socialiste.fr/personnalite/philippe-bies/
Emmanuel;PROVIN;Aube;10;1;;https://twitter.com/emmanuelprovin?lang=fr;http://www.parti-socialiste.fr/personnalite/emmanuel-provin/
David;BLANCHON;Aube;10;3;;https://twitter.com/BlanchonDavid;http://www.parti-socialiste.fr/personnalite/david-blanchon/
Audrey;AIT KEDDACHE;Aube;10;2;;https://twitter.com/Audrey_AK?lang=fr;http://www.parti-socialiste.fr/personnalite/audrey-ait-keddache/
Didier;HERBILLON;Ardennes;08;3;;https://twitter.com/HerbillonDidier;http://www.parti-socialiste.fr/personnalite/didier-herbillon/
Emmanuelle;DE GENTILI;Haute-Corse;2B;1;https://www.facebook.com/degentili/;https://twitter.com/degentili;http://www.parti-socialiste.fr/personnalite/emmanuelle-de-gentili-2/
Christophe;LÉONARD;Ardennes;08;2;https://www.facebook.com/Christophe-L%C3%A9onard-D%C3%A9put%C3%A9-des-Ardennes-308108769232031/;https://twitter.com/Ch_Leonard?lang=fr;http://www.parti-socialiste.fr/personnalite/christophe-leonard/
Valérie;CORRE;Loiret;45;6;https://www.facebook.com/valeriecorredeputeeloiret/?fref=ts;https://twitter.com/Valerie_Corre;http://www.parti-socialiste.fr/personnalite/valerie-corre-2/
Olivier;JOUIN;Loiret;45;1;;https://twitter.com/JouinOlivier;http://www.parti-socialiste.fr/personnalite/olivier-jouin/
Thierry;STROMBONI;Loiret;45;5;;;http://www.parti-socialiste.fr/personnalite/thierry-stromboni/
Denys;ROBILIARD;Loir-et-Cher;41;1;;https://twitter.com/DenysRobiliard;http://www.parti-socialiste.fr/personnalite/denys-robiliard/
Jalila;GABORET;Loiret;45;4;;;http://www.parti-socialiste.fr/personnalite/jalila-gaboret/
Didier;GUENIN;Loir-et-Cher;41;2;;https://twitter.com/loireapied;http://www.parti-socialiste.fr/personnalite/didier-guenin/
Yann;GALUT;Cher;18;3;https://www.facebook.com/YANN.GALUT.18/?fref=ts;https://twitter.com/yanngalut;http://www.parti-socialiste.fr/personnalite/yann-galut/
Agnès;SINSOULIER;Cher;18;2;;https://twitter.com/asinsoulier;http://www.parti-socialiste.fr/personnalite/agnes-sinsoulier/
Céline;BEZOUI;Cher;18;1;;https://twitter.com/celinebezoui;http://www.parti-socialiste.fr/personnalite/celine-bezoui/
Marie;Christine LE MOUEL;Morbihan;56;3;https://www.facebook.com/mariechristine.lemouel/?fref=ts;;http://www.parti-socialiste.fr/personnalite/marie-christine-mouel/
Stéphanie;LE SQUER;Morbihan;56;2;;https://twitter.com/S_LESQUER;http://www.parti-socialiste.fr/personnalite/stephanie-le-squer/
Gwendal;ROUILLARD;Morbihan;56;5;;https://twitter.com/G_ROUILLARD;http://www.parti-socialiste.fr/personnalite/gwendal-rouillard/
Hervé;PELLOIS;Morbihan;56;1;https://www.facebook.com/Herv%C3%A9-Pellois-200107583401791/?fref=ts;https://twitter.com/HervePellois?lang=fr;http://www.parti-socialiste.fr/personnalite/herve-pellois/
François;ANDRE;Ille-et-Vilaine;35;3;https://www.facebook.com/francoisandredepute/?fref=ts;https://twitter.com/FrancoisAndre35;http://www.parti-socialiste.fr/personnalite/francois-andre/
Alexandra;THIERRY;Ille-et-Vilaine;35;7;;;http://www.parti-socialiste.fr/personnalite/alexandra-thierry/
Stéphane;LENFANT;Ille-et-Vilaine;35;5;https://www.facebook.com/stephanelenfant2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/stephane-lenfant/
Evelyne;GAUTIER LE BAIL;Ille-et-Vilaine;35;6;;https://twitter.com/egautierlebail;http://www.parti-socialiste.fr/personnalite/evelyne-gautier-bail/
Franck;PICHOT;Ille-et-Vilaine;35;4;https://www.facebook.com/FranckPichot2017/;https://twitter.com/FPichot2017;http://www.parti-socialiste.fr/personnalite/franck-pichot/
Gaëlle;ANDRO;Ille-et-Vilaine;35;2;;https://twitter.com/gaelle_andro?lang=fr;http://www.parti-socialiste.fr/personnalite/gaelle-andro/
Marie-Anne;CHAPDELAINE;Ille-et-Vilaine;35;1;https://www.facebook.com/machapdelaine/?fref=ts;https://twitter.com/ma_chapdelaine;http://www.parti-socialiste.fr/personnalite/marie-anne-chapdelaine/
Michaël;QUERNEZ;Finistère;29;8;;https://twitter.com/Michaelquernez;http://www.parti-socialiste.fr/personnalite/michael-quernez/
Chantal;GUITTET RAISON;Finistère;29;5;;https://twitter.com/Guittet2017;http://www.parti-socialiste.fr/personnalite/chantal-guittet-raison/
Florence;CROM;Finistère;29;7;;https://twitter.com/Florence_Crom;http://www.parti-socialiste.fr/personnalite/florence-crom/
Gwenegan;BUI;Finistère;29;4;https://www.facebook.com/BuiGwenegan/?fref=ts;https://twitter.com/GweneganB;http://www.parti-socialiste.fr/personnalite/gwenegan-bui/
